id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;13.53;0.31;34.47;256%;485516;216248;72952;0;./7z_7z_comp.sh tmp/0_sample_config.7z sample_config
1;12.54;0.28;33.98;273%;483500;0;72952;0;./7z_7z_comp.sh tmp/1_sample_config.7z sample_config
2;12.29;0.21;34.05;278%;485096;0;72952;0;./7z_7z_comp.sh tmp/2_sample_config.7z sample_config
3;12.53;0.23;34.01;273%;483688;0;72952;0;./7z_7z_comp.sh tmp/3_sample_config.7z sample_config
4;12.70;0.27;34.10;270%;483580;0;72952;0;./7z_7z_comp.sh tmp/4_sample_config.7z sample_config
5;12.32;0.22;34.08;278%;482428;0;72952;0;./7z_7z_comp.sh tmp/5_sample_config.7z sample_config
6;12.23;0.20;33.95;279%;482448;0;72952;0;./7z_7z_comp.sh tmp/6_sample_config.7z sample_config
7;13.30;0.26;34.09;258%;483100;0;72952;0;./7z_7z_comp.sh tmp/7_sample_config.7z sample_config
8;12.64;0.21;34.27;272%;485264;0;72952;0;./7z_7z_comp.sh tmp/8_sample_config.7z sample_config
9;13.13;0.17;34.56;264%;482660;0;72952;0;./7z_7z_comp.sh tmp/9_sample_config.7z sample_config
10;12.62;0.22;34.46;274%;486940;0;72952;0;./7z_7z_comp.sh tmp/10_sample_config.7z sample_config
11;12.40;0.22;34.22;277%;486224;0;72952;0;./7z_7z_comp.sh tmp/11_sample_config.7z sample_config
12;12.43;0.25;34.18;277%;485948;0;72952;0;./7z_7z_comp.sh tmp/12_sample_config.7z sample_config
13;12.31;0.24;34.17;279%;484192;0;72952;0;./7z_7z_comp.sh tmp/13_sample_config.7z sample_config
14;12.58;0.27;33.95;271%;486688;0;72952;0;./7z_7z_comp.sh tmp/14_sample_config.7z sample_config
15;12.41;0.21;34.21;277%;484792;0;72952;0;./7z_7z_comp.sh tmp/15_sample_config.7z sample_config
16;12.57;0.22;34.09;272%;487000;0;72952;0;./7z_7z_comp.sh tmp/16_sample_config.7z sample_config
