id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;2.55;0.33;4.49;188%;18824;8;208840;0;./7z_bzip2_decomp.sh tmp/0_sample_config.bz2 tmp
1;2.49;0.32;4.38;188%;18788;0;208840;0;./7z_bzip2_decomp.sh tmp/1_sample_config.bz2 tmp
2;2.58;0.30;4.58;189%;18628;0;208840;0;./7z_bzip2_decomp.sh tmp/2_sample_config.bz2 tmp
3;2.54;0.28;4.49;187%;18768;0;208840;0;./7z_bzip2_decomp.sh tmp/3_sample_config.bz2 tmp
4;2.57;0.29;4.52;187%;18552;0;208840;0;./7z_bzip2_decomp.sh tmp/4_sample_config.bz2 tmp
5;2.59;0.30;4.49;184%;18992;0;208840;0;./7z_bzip2_decomp.sh tmp/5_sample_config.bz2 tmp
6;2.55;0.30;4.46;186%;18700;0;208840;0;./7z_bzip2_decomp.sh tmp/6_sample_config.bz2 tmp
7;2.91;0.32;4.51;165%;18924;0;208840;0;./7z_bzip2_decomp.sh tmp/7_sample_config.bz2 tmp
8;2.54;0.33;4.47;188%;18976;0;208840;0;./7z_bzip2_decomp.sh tmp/8_sample_config.bz2 tmp
9;2.55;0.29;4.48;187%;18920;0;208840;0;./7z_bzip2_decomp.sh tmp/9_sample_config.bz2 tmp
10;2.55;0.28;4.46;185%;18772;0;208840;0;./7z_bzip2_decomp.sh tmp/10_sample_config.bz2 tmp
11;2.48;0.31;4.40;189%;18988;0;208840;0;./7z_bzip2_decomp.sh tmp/11_sample_config.bz2 tmp
12;2.65;0.31;4.59;184%;18508;0;208840;0;./7z_bzip2_decomp.sh tmp/12_sample_config.bz2 tmp
13;2.64;0.27;4.59;184%;18964;0;208840;0;./7z_bzip2_decomp.sh tmp/13_sample_config.bz2 tmp
14;2.59;0.32;4.51;186%;18896;0;208840;0;./7z_bzip2_decomp.sh tmp/14_sample_config.bz2 tmp
15;2.68;0.30;4.62;183%;18640;0;208840;0;./7z_bzip2_decomp.sh tmp/15_sample_config.bz2 tmp
16;2.56;0.32;4.41;184%;18772;0;208840;0;./7z_bzip2_decomp.sh tmp/16_sample_config.bz2 tmp
17;2.53;0.27;4.44;185%;18688;0;208840;0;./7z_bzip2_decomp.sh tmp/17_sample_config.bz2 tmp
18;2.54;0.29;4.42;185%;18900;0;208840;0;./7z_bzip2_decomp.sh tmp/18_sample_config.bz2 tmp
19;2.51;0.28;4.37;185%;18840;0;208840;0;./7z_bzip2_decomp.sh tmp/19_sample_config.bz2 tmp
20;2.49;0.31;4.35;187%;18832;0;208840;0;./7z_bzip2_decomp.sh tmp/20_sample_config.bz2 tmp
21;2.50;0.28;4.47;189%;18748;0;208840;0;./7z_bzip2_decomp.sh tmp/21_sample_config.bz2 tmp
22;2.57;0.30;4.47;186%;18800;0;208840;0;./7z_bzip2_decomp.sh tmp/22_sample_config.bz2 tmp
23;2.54;0.30;4.52;189%;18728;0;208840;0;./7z_bzip2_decomp.sh tmp/23_sample_config.bz2 tmp
24;3.74;0.27;4.50;127%;18900;0;208840;0;./7z_bzip2_decomp.sh tmp/24_sample_config.bz2 tmp
