id of repetition;uncompressed;compressed;decompressed
0;104804642;49121292;104800546
1;104804642;49121292;104800546
2;104804642;49121292;104800546
3;104804642;49121292;104800546
4;104804642;49121292;104800546
5;104804642;49121292;104800546
6;104804642;49121292;104800546
7;104804642;49121292;104800546
8;104804642;49121292;104800546
9;104804642;49121292;104800546
10;104804642;49121292;104800546
11;104804642;49121292;104800546
12;104804642;49121292;104800546
13;104804642;49121292;104800546
14;104804642;49121292;104800546
15;104804642;49121292;104800546
16;104804642;49121292;104800546
17;104804642;49121292;104800546
18;104804642;49121292;104800546
19;104804642;49121292;104800546
20;104804642;49121292;104800546
21;104804642;49121292;104800546
22;104804642;49121292;104800546
23;104804642;49121292;104800546
24;104804642;49121292;104800546
25;104804642;49121292;104800546
26;104804642;49121292;104800546
27;104804642;49121292;104800546
28;104804642;49121292;104800546
29;104804642;49121292;104800546
30;104804642;49121292;104800546
31;104804642;49121292;104800546
32;104804642;49121292;104800546
33;104804642;49121292;104800546
34;104804642;49121292;104800546
35;104804642;49121292;104800546
36;104804642;49121292;104800546
37;104804642;49121292;104800546
38;104804642;49121292;104800546
39;104804642;49121292;104800546
40;104804642;49121292;104800546
41;104804642;49121292;104800546
42;104804642;49121292;104800546
43;104804642;49121292;104800546
44;104804642;49121292;104800546
45;104804642;49121292;104800546
46;104804642;49121292;104800546
47;104804642;49121292;104800546
48;104804642;49121292;104800546
49;104804642;49121292;104800546
50;104804642;49121292;104800546
51;104804642;49121292;104800546
52;104804642;49121292;104800546
53;104804642;49121292;104800546
54;104804642;49121292;104800546
55;104804642;49121292;104800546
56;104804642;49121292;104800546
57;104804642;49121292;104800546
58;104804642;49121292;104800546
59;104804642;49121292;104800546
60;104804642;49121292;104800546
61;104804642;49121292;104800546
62;104804642;49121292;104800546
63;104804642;49121292;104800546
64;104804642;49121292;104800546
65;104804642;49121292;104800546
66;104804642;49121292;104800546
67;104804642;49121292;104800546
68;104804642;49121292;104800546
69;104804642;49121292;104800546
