id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;7.60;0.09;29.79;393%;48192;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/0_sample_enwik8.bz2
1;7.59;0.10;29.80;393%;48748;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/1_sample_enwik8.bz2
2;7.61;0.11;29.71;391%;47844;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/2_sample_enwik8.bz2
3;7.61;0.11;29.79;392%;47852;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/3_sample_enwik8.bz2
4;7.63;0.11;29.81;392%;46864;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/4_sample_enwik8.bz2
5;7.57;0.10;29.62;392%;48040;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/5_sample_enwik8.bz2
6;7.60;0.10;29.71;392%;47908;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/6_sample_enwik8.bz2
7;7.58;0.12;29.77;394%;47896;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/7_sample_enwik8.bz2
8;7.60;0.12;29.71;392%;46548;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/8_sample_enwik8.bz2
9;7.59;0.12;29.74;393%;48452;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/9_sample_enwik8.bz2
10;7.62;0.11;29.89;393%;47212;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/10_sample_enwik8.bz2
11;7.62;0.09;29.76;391%;47936;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/11_sample_enwik8.bz2
12;7.57;0.11;29.62;392%;48272;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/12_sample_enwik8.bz2
13;7.68;0.12;29.77;389%;48096;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/13_sample_enwik8.bz2
14;7.62;0.15;29.65;390%;48512;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/14_sample_enwik8.bz2
15;7.63;0.10;29.80;391%;48288;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/15_sample_enwik8.bz2
16;7.60;0.07;29.84;393%;48544;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/16_sample_enwik8.bz2
17;7.72;0.10;29.72;386%;48308;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/17_sample_enwik8.bz2
18;7.62;0.13;29.79;392%;48576;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/18_sample_enwik8.bz2
19;7.63;0.12;29.81;392%;48484;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/19_sample_enwik8.bz2
20;7.59;0.09;29.74;392%;48204;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/20_sample_enwik8.bz2
21;7.59;0.11;29.79;394%;48596;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/21_sample_enwik8.bz2
22;7.63;0.10;29.86;392%;48372;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/22_sample_enwik8.bz2
23;7.60;0.10;29.76;392%;46884;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/23_sample_enwik8.bz2
24;7.58;0.10;29.57;391%;47808;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/24_sample_enwik8.bz2
25;7.62;0.11;29.79;392%;47800;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/25_sample_enwik8.bz2
26;7.62;0.10;29.78;391%;48276;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/26_sample_enwik8.bz2
27;7.58;0.10;29.68;392%;47996;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/27_sample_enwik8.bz2
28;7.62;0.09;29.66;389%;47652;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/28_sample_enwik8.bz2
29;7.63;0.09;29.83;391%;46624;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/29_sample_enwik8.bz2
30;7.62;0.14;29.72;391%;48128;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/30_sample_enwik8.bz2
31;7.63;0.08;29.87;392%;48380;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/31_sample_enwik8.bz2
32;7.63;0.09;29.82;391%;48000;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/32_sample_enwik8.bz2
33;7.62;0.09;29.86;392%;46932;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/33_sample_enwik8.bz2
34;7.60;0.08;29.87;394%;48228;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/34_sample_enwik8.bz2
35;7.63;0.10;29.75;391%;48476;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/35_sample_enwik8.bz2
36;7.57;0.09;29.70;393%;47976;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/36_sample_enwik8.bz2
37;7.67;0.10;29.77;389%;48252;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/37_sample_enwik8.bz2
38;7.61;0.10;29.82;392%;48472;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/38_sample_enwik8.bz2
39;7.59;0.11;29.77;393%;48304;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/39_sample_enwik8.bz2
40;7.61;0.09;29.83;392%;47976;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/40_sample_enwik8.bz2
41;7.61;0.15;29.74;392%;48280;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/41_sample_enwik8.bz2
42;7.64;0.13;29.67;389%;48080;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/42_sample_enwik8.bz2
43;7.56;0.09;29.73;394%;47940;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/43_sample_enwik8.bz2
44;7.60;0.08;29.83;393%;48116;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/44_sample_enwik8.bz2
45;7.59;0.10;29.77;393%;48660;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/45_sample_enwik8.bz2
46;7.65;0.09;29.83;390%;46872;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/46_sample_enwik8.bz2
47;7.61;0.10;29.84;393%;47872;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/47_sample_enwik8.bz2
48;7.64;0.13;29.79;391%;48520;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/48_sample_enwik8.bz2
49;7.60;0.10;29.83;393%;48388;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/49_sample_enwik8.bz2
50;7.66;0.11;29.81;390%;47056;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/50_sample_enwik8.bz2
51;7.61;0.11;29.66;391%;46756;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/51_sample_enwik8.bz2
52;7.64;0.09;29.77;390%;47568;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/52_sample_enwik8.bz2
53;7.61;0.09;29.84;393%;47640;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/53_sample_enwik8.bz2
54;7.63;0.09;29.88;392%;46960;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/54_sample_enwik8.bz2
55;7.65;0.10;29.77;390%;46944;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/55_sample_enwik8.bz2
56;7.64;0.09;29.85;391%;47848;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/56_sample_enwik8.bz2
57;7.64;0.09;29.80;391%;46912;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/57_sample_enwik8.bz2
58;7.61;0.10;29.80;392%;48612;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/58_sample_enwik8.bz2
59;7.70;0.11;29.80;388%;48368;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/59_sample_enwik8.bz2
60;7.61;0.11;29.80;392%;46908;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/60_sample_enwik8.bz2
61;7.62;0.10;29.79;392%;47028;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/61_sample_enwik8.bz2
62;7.59;0.12;29.75;393%;48120;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/62_sample_enwik8.bz2
63;7.64;0.10;29.82;391%;48256;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/63_sample_enwik8.bz2
64;7.64;0.11;29.76;390%;47944;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/64_sample_enwik8.bz2
65;7.61;0.09;29.83;393%;48372;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/65_sample_enwik8.bz2
66;7.64;0.12;29.75;390%;48096;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/66_sample_enwik8.bz2
67;7.60;0.10;29.85;393%;47936;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/67_sample_enwik8.bz2
68;7.63;0.10;29.59;388%;46856;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/68_sample_enwik8.bz2
69;7.60;0.09;29.81;393%;48188;0;56672;0;./7z_bzip2_comp.sh sample_enwik8 tmp/69_sample_enwik8.bz2
