id of repetition;uncompressed;compressed;decompressed
0;100000000;29012629;100000000
1;100000000;29012629;100000000
2;100000000;29012629;100000000
3;100000000;29012629;100000000
4;100000000;29012629;100000000
5;100000000;29012629;100000000
6;100000000;29012629;100000000
7;100000000;29012629;100000000
8;100000000;29012629;100000000
9;100000000;29012629;100000000
10;100000000;29012629;100000000
11;100000000;29012629;100000000
12;100000000;29012629;100000000
13;100000000;29012629;100000000
14;100000000;29012629;100000000
15;100000000;29012629;100000000
16;100000000;29012629;100000000
17;100000000;29012629;100000000
18;100000000;29012629;100000000
19;100000000;29012629;100000000
20;100000000;29012629;100000000
21;100000000;29012629;100000000
22;100000000;29012629;100000000
23;100000000;29012629;100000000
24;100000000;29012629;100000000
25;100000000;29012629;100000000
26;100000000;29012629;100000000
27;100000000;29012629;100000000
28;100000000;29012629;100000000
29;100000000;29012629;100000000
30;100000000;29012629;100000000
31;100000000;29012629;100000000
32;100000000;29012629;100000000
33;100000000;29012629;100000000
34;100000000;29012629;100000000
35;100000000;29012629;100000000
36;100000000;29012629;100000000
37;100000000;29012629;100000000
38;100000000;29012629;100000000
39;100000000;29012629;100000000
40;100000000;29012629;100000000
41;100000000;29012629;100000000
42;100000000;29012629;100000000
43;100000000;29012629;100000000
44;100000000;29012629;100000000
45;100000000;29012629;100000000
46;100000000;29012629;100000000
47;100000000;29012629;100000000
48;100000000;29012629;100000000
49;100000000;29012629;100000000
50;100000000;29012629;100000000
51;100000000;29012629;100000000
52;100000000;29012629;100000000
53;100000000;29012629;100000000
54;100000000;29012629;100000000
55;100000000;29012629;100000000
56;100000000;29012629;100000000
57;100000000;29012629;100000000
58;100000000;29012629;100000000
59;100000000;29012629;100000000
60;100000000;29012629;100000000
61;100000000;29012629;100000000
62;100000000;29012629;100000000
63;100000000;29012629;100000000
64;100000000;29012629;100000000
65;100000000;29012629;100000000
66;100000000;29012629;100000000
67;100000000;29012629;100000000
68;100000000;29012629;100000000
69;100000000;29012629;100000000
