id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;11.92;0.34;31.09;263%;537036;195712;194352;0;./7z_7z_comp.sh tmp/0_sample_image-data.7z sample_image-data
1;10.66;0.25;31.27;295%;538128;0;194352;0;./7z_7z_comp.sh tmp/1_sample_image-data.7z sample_image-data
2;10.81;0.24;31.45;293%;537972;0;194352;0;./7z_7z_comp.sh tmp/2_sample_image-data.7z sample_image-data
3;10.46;0.27;30.99;298%;537004;0;194352;0;./7z_7z_comp.sh tmp/3_sample_image-data.7z sample_image-data
4;10.45;0.27;30.96;298%;537960;0;194352;0;./7z_7z_comp.sh tmp/4_sample_image-data.7z sample_image-data
5;10.73;0.28;31.39;295%;538324;0;194352;0;./7z_7z_comp.sh tmp/5_sample_image-data.7z sample_image-data
6;11.22;0.31;32.22;289%;536468;0;194352;0;./7z_7z_comp.sh tmp/6_sample_image-data.7z sample_image-data
7;10.49;0.28;30.96;297%;536600;0;194352;0;./7z_7z_comp.sh tmp/7_sample_image-data.7z sample_image-data
8;11.52;0.27;33.22;290%;537940;0;194352;0;./7z_7z_comp.sh tmp/8_sample_image-data.7z sample_image-data
9;13.45;0.25;31.26;234%;537124;0;194352;0;./7z_7z_comp.sh tmp/9_sample_image-data.7z sample_image-data
10;10.47;0.27;31.01;298%;536636;0;194352;0;./7z_7z_comp.sh tmp/10_sample_image-data.7z sample_image-data
11;13.94;0.25;31.10;224%;537408;0;194352;0;./7z_7z_comp.sh tmp/11_sample_image-data.7z sample_image-data
12;10.45;0.29;30.87;298%;536664;0;194352;0;./7z_7z_comp.sh tmp/12_sample_image-data.7z sample_image-data
13;10.57;0.30;31.09;296%;537688;0;194352;0;./7z_7z_comp.sh tmp/13_sample_image-data.7z sample_image-data
14;10.96;0.27;32.24;296%;538736;0;194352;0;./7z_7z_comp.sh tmp/14_sample_image-data.7z sample_image-data
15;10.53;0.26;31.13;297%;538452;0;194352;0;./7z_7z_comp.sh tmp/15_sample_image-data.7z sample_image-data
16;14.77;0.26;31.88;217%;537252;0;194352;0;./7z_7z_comp.sh tmp/16_sample_image-data.7z sample_image-data
17;10.45;0.25;30.87;297%;538024;0;194352;0;./7z_7z_comp.sh tmp/17_sample_image-data.7z sample_image-data
18;10.96;0.34;32.24;297%;536904;0;194352;0;./7z_7z_comp.sh tmp/18_sample_image-data.7z sample_image-data
19;10.42;0.31;31.05;300%;536896;0;194352;0;./7z_7z_comp.sh tmp/19_sample_image-data.7z sample_image-data
20;10.79;0.27;31.82;297%;536884;0;194352;0;./7z_7z_comp.sh tmp/20_sample_image-data.7z sample_image-data
21;10.60;0.23;31.25;297%;538724;0;194352;0;./7z_7z_comp.sh tmp/21_sample_image-data.7z sample_image-data
22;13.78;0.27;31.95;233%;539080;0;194352;0;./7z_7z_comp.sh tmp/22_sample_image-data.7z sample_image-data
23;10.46;0.28;30.94;298%;537816;0;194352;0;./7z_7z_comp.sh tmp/23_sample_image-data.7z sample_image-data
24;10.56;0.29;31.10;297%;537252;0;194352;0;./7z_7z_comp.sh tmp/24_sample_image-data.7z sample_image-data
25;10.52;0.26;31.10;297%;538380;0;194352;0;./7z_7z_comp.sh tmp/25_sample_image-data.7z sample_image-data
26;10.54;0.29;30.95;296%;537624;0;194352;0;./7z_7z_comp.sh tmp/26_sample_image-data.7z sample_image-data
27;11.15;0.30;31.53;285%;537812;0;194352;0;./7z_7z_comp.sh tmp/27_sample_image-data.7z sample_image-data
28;10.47;0.29;31.06;299%;538008;0;194352;0;./7z_7z_comp.sh tmp/28_sample_image-data.7z sample_image-data
29;10.49;0.27;31.05;298%;537296;0;194352;0;./7z_7z_comp.sh tmp/29_sample_image-data.7z sample_image-data
30;10.51;0.26;31.14;298%;537764;0;194352;0;./7z_7z_comp.sh tmp/30_sample_image-data.7z sample_image-data
31;10.78;0.31;31.48;294%;537704;0;194352;0;./7z_7z_comp.sh tmp/31_sample_image-data.7z sample_image-data
32;11.26;0.31;32.55;291%;536516;0;194352;0;./7z_7z_comp.sh tmp/32_sample_image-data.7z sample_image-data
33;10.51;0.30;31.17;299%;537904;0;194352;0;./7z_7z_comp.sh tmp/33_sample_image-data.7z sample_image-data
34;10.54;0.30;31.01;297%;538188;0;194352;0;./7z_7z_comp.sh tmp/34_sample_image-data.7z sample_image-data
35;10.43;0.30;31.08;300%;538032;0;194352;0;./7z_7z_comp.sh tmp/35_sample_image-data.7z sample_image-data
36;10.42;0.27;31.24;302%;536928;0;194352;0;./7z_7z_comp.sh tmp/36_sample_image-data.7z sample_image-data
37;11.11;0.34;32.37;294%;538108;0;194352;0;./7z_7z_comp.sh tmp/37_sample_image-data.7z sample_image-data
38;13.02;0.33;31.96;248%;538180;0;194352;0;./7z_7z_comp.sh tmp/38_sample_image-data.7z sample_image-data
39;10.50;0.30;31.29;300%;538072;0;194352;0;./7z_7z_comp.sh tmp/39_sample_image-data.7z sample_image-data
40;10.49;0.26;31.29;300%;536284;0;194352;0;./7z_7z_comp.sh tmp/40_sample_image-data.7z sample_image-data
41;11.18;0.30;33.36;300%;536968;0;194352;0;./7z_7z_comp.sh tmp/41_sample_image-data.7z sample_image-data
42;10.63;0.27;31.35;297%;536304;0;194352;0;./7z_7z_comp.sh tmp/42_sample_image-data.7z sample_image-data
43;10.46;0.27;31.25;301%;537252;0;194352;0;./7z_7z_comp.sh tmp/43_sample_image-data.7z sample_image-data
44;10.52;0.27;31.34;300%;536908;0;194352;0;./7z_7z_comp.sh tmp/44_sample_image-data.7z sample_image-data
45;10.46;0.32;31.19;301%;537360;0;194352;0;./7z_7z_comp.sh tmp/45_sample_image-data.7z sample_image-data
46;10.56;0.31;31.26;298%;536184;0;194352;0;./7z_7z_comp.sh tmp/46_sample_image-data.7z sample_image-data
47;11.34;0.30;31.97;284%;537264;0;194352;0;./7z_7z_comp.sh tmp/47_sample_image-data.7z sample_image-data
48;12.70;0.32;31.67;251%;536244;0;194352;0;./7z_7z_comp.sh tmp/48_sample_image-data.7z sample_image-data
49;11.12;0.34;32.84;298%;537104;0;194352;0;./7z_7z_comp.sh tmp/49_sample_image-data.7z sample_image-data
50;10.76;0.31;31.91;299%;536720;0;194352;0;./7z_7z_comp.sh tmp/50_sample_image-data.7z sample_image-data
51;10.49;0.31;31.47;302%;536616;0;194352;0;./7z_7z_comp.sh tmp/51_sample_image-data.7z sample_image-data
52;10.58;0.27;31.57;300%;536428;0;194352;0;./7z_7z_comp.sh tmp/52_sample_image-data.7z sample_image-data
53;10.90;0.31;32.19;298%;536848;0;194352;0;./7z_7z_comp.sh tmp/53_sample_image-data.7z sample_image-data
54;10.54;0.29;31.52;301%;536808;0;194352;0;./7z_7z_comp.sh tmp/54_sample_image-data.7z sample_image-data
55;10.60;0.31;31.55;300%;537044;0;194352;0;./7z_7z_comp.sh tmp/55_sample_image-data.7z sample_image-data
56;10.75;0.31;31.80;298%;537388;0;194352;0;./7z_7z_comp.sh tmp/56_sample_image-data.7z sample_image-data
57;11.30;0.34;33.31;297%;537940;0;194352;0;./7z_7z_comp.sh tmp/57_sample_image-data.7z sample_image-data
58;10.80;0.38;32.06;300%;536748;0;194352;0;./7z_7z_comp.sh tmp/58_sample_image-data.7z sample_image-data
59;11.83;0.28;32.57;277%;538152;0;194352;0;./7z_7z_comp.sh tmp/59_sample_image-data.7z sample_image-data
60;10.79;0.33;32.02;299%;538272;0;194352;0;./7z_7z_comp.sh tmp/60_sample_image-data.7z sample_image-data
61;10.91;0.30;32.72;302%;536720;0;194352;0;./7z_7z_comp.sh tmp/61_sample_image-data.7z sample_image-data
62;11.28;0.35;33.06;296%;538448;0;194352;0;./7z_7z_comp.sh tmp/62_sample_image-data.7z sample_image-data
63;10.62;0.35;31.47;299%;537520;0;194352;0;./7z_7z_comp.sh tmp/63_sample_image-data.7z sample_image-data
64;11.28;0.34;32.89;294%;537064;0;194352;0;./7z_7z_comp.sh tmp/64_sample_image-data.7z sample_image-data
65;10.48;0.32;31.66;304%;537260;0;194352;0;./7z_7z_comp.sh tmp/65_sample_image-data.7z sample_image-data
66;10.50;0.35;31.67;305%;536860;0;194352;0;./7z_7z_comp.sh tmp/66_sample_image-data.7z sample_image-data
67;10.87;0.33;32.12;298%;537388;0;194352;0;./7z_7z_comp.sh tmp/67_sample_image-data.7z sample_image-data
68;10.58;0.32;31.66;302%;536852;0;194352;0;./7z_7z_comp.sh tmp/68_sample_image-data.7z sample_image-data
69;10.69;0.35;31.71;299%;537824;0;194352;0;./7z_7z_comp.sh tmp/69_sample_image-data.7z sample_image-data
