id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;10.02;0.17;39.22;393%;49264;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/0_sample_image-data.bz2
1;10.18;0.14;39.47;389%;49512;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/1_sample_image-data.bz2
2;11.00;0.17;39.24;358%;49396;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/2_sample_image-data.bz2
3;10.55;0.17;39.11;372%;49460;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/3_sample_image-data.bz2
4;11.77;0.15;39.10;333%;49112;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/4_sample_image-data.bz2
5;10.16;0.15;38.96;384%;48628;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/5_sample_image-data.bz2
6;10.43;0.16;39.21;377%;49284;264;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/6_sample_image-data.bz2
7;10.73;0.20;39.16;366%;48660;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/7_sample_image-data.bz2
8;10.44;0.15;39.10;375%;49096;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/8_sample_image-data.bz2
9;10.29;0.16;39.28;383%;49552;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/9_sample_image-data.bz2
10;10.12;0.16;39.34;390%;49164;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/10_sample_image-data.bz2
11;10.63;0.18;39.11;369%;48496;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/11_sample_image-data.bz2
12;10.71;0.17;39.33;368%;49152;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/12_sample_image-data.bz2
13;10.77;0.17;39.19;365%;48332;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/13_sample_image-data.bz2
