id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;8.92;0.15;6.02;69%;22340;195224;196032;0;./7z_7z_decomp.sh tmp/0_sample_music.7z tmp
1;8.17;0.09;5.88;73%;22324;195224;196032;0;./7z_7z_decomp.sh tmp/1_sample_music.7z tmp
2;7.07;0.12;5.76;83%;22336;195224;196032;0;./7z_7z_decomp.sh tmp/2_sample_music.7z tmp
3;7.35;0.09;5.91;81%;22336;195224;196032;0;./7z_7z_decomp.sh tmp/3_sample_music.7z tmp
4;8.00;0.08;5.97;75%;22156;195224;196032;0;./7z_7z_decomp.sh tmp/4_sample_music.7z tmp
5;6.77;0.10;5.76;86%;22292;195224;196032;0;./7z_7z_decomp.sh tmp/5_sample_music.7z tmp
6;7.22;0.11;5.81;82%;22132;195224;196032;0;./7z_7z_decomp.sh tmp/6_sample_music.7z tmp
7;7.82;0.12;5.85;76%;22308;195224;196032;0;./7z_7z_decomp.sh tmp/7_sample_music.7z tmp
8;7.30;0.13;5.81;81%;22280;195096;196032;0;./7z_7z_decomp.sh tmp/8_sample_music.7z tmp
9;8.00;0.12;5.95;75%;22220;195096;196032;0;./7z_7z_decomp.sh tmp/9_sample_music.7z tmp
10;7.35;0.12;5.84;81%;22260;195224;196032;0;./7z_7z_decomp.sh tmp/10_sample_music.7z tmp
11;7.79;0.12;5.91;77%;22384;195224;196032;0;./7z_7z_decomp.sh tmp/11_sample_music.7z tmp
12;7.25;0.11;5.88;82%;22288;194968;196032;0;./7z_7z_decomp.sh tmp/12_sample_music.7z tmp
13;8.42;0.12;5.96;72%;22352;195224;196032;0;./7z_7z_decomp.sh tmp/13_sample_music.7z tmp
14;6.71;0.14;5.79;88%;22292;194456;196032;0;./7z_7z_decomp.sh tmp/14_sample_music.7z tmp
15;7.68;0.15;5.86;78%;22300;195224;196032;0;./7z_7z_decomp.sh tmp/15_sample_music.7z tmp
16;7.84;0.12;5.92;77%;22348;195224;196032;0;./7z_7z_decomp.sh tmp/16_sample_music.7z tmp
17;6.75;0.12;5.79;87%;22404;194712;196032;0;./7z_7z_decomp.sh tmp/17_sample_music.7z tmp
18;7.99;0.11;5.93;75%;22340;195224;196032;0;./7z_7z_decomp.sh tmp/18_sample_music.7z tmp
19;7.46;0.14;5.85;80%;22468;193688;196032;0;./7z_7z_decomp.sh tmp/19_sample_music.7z tmp
20;7.64;0.11;5.92;78%;22616;194200;196032;0;./7z_7z_decomp.sh tmp/20_sample_music.7z tmp
21;7.98;0.12;5.93;75%;22432;194200;196032;0;./7z_7z_decomp.sh tmp/21_sample_music.7z tmp
22;7.43;0.10;5.89;80%;22524;195224;196032;0;./7z_7z_decomp.sh tmp/22_sample_music.7z tmp
23;7.50;0.15;5.86;80%;22332;195224;196032;0;./7z_7z_decomp.sh tmp/23_sample_music.7z tmp
24;8.21;0.10;5.97;73%;22544;193176;196032;0;./7z_7z_decomp.sh tmp/24_sample_music.7z tmp
25;8.13;0.14;5.97;75%;22548;195224;196032;0;./7z_7z_decomp.sh tmp/25_sample_music.7z tmp
26;7.02;0.13;5.84;85%;22476;195224;196032;0;./7z_7z_decomp.sh tmp/26_sample_music.7z tmp
27;8.50;0.14;5.98;72%;22480;195224;196032;0;./7z_7z_decomp.sh tmp/27_sample_music.7z tmp
28;7.28;0.10;5.90;82%;22392;195224;196032;0;./7z_7z_decomp.sh tmp/28_sample_music.7z tmp
29;8.10;0.12;6.00;75%;22480;195224;196032;0;./7z_7z_decomp.sh tmp/29_sample_music.7z tmp
30;7.33;0.11;5.86;81%;22308;195224;196032;0;./7z_7z_decomp.sh tmp/30_sample_music.7z tmp
31;7.57;0.11;5.80;78%;22448;195224;196032;0;./7z_7z_decomp.sh tmp/31_sample_music.7z tmp
32;7.01;0.10;5.80;84%;22336;195224;196032;0;./7z_7z_decomp.sh tmp/32_sample_music.7z tmp
33;8.20;0.12;6.00;74%;22328;195224;196032;0;./7z_7z_decomp.sh tmp/33_sample_music.7z tmp
34;7.25;0.13;5.73;81%;22276;195224;196032;0;./7z_7z_decomp.sh tmp/34_sample_music.7z tmp
35;7.57;0.11;5.88;79%;22240;195224;196032;0;./7z_7z_decomp.sh tmp/35_sample_music.7z tmp
36;8.13;0.14;5.91;74%;22136;195224;196032;0;./7z_7z_decomp.sh tmp/36_sample_music.7z tmp
37;8.12;0.14;5.96;75%;22320;195224;196032;0;./7z_7z_decomp.sh tmp/37_sample_music.7z tmp
38;6.70;0.11;5.78;88%;22356;195224;196032;0;./7z_7z_decomp.sh tmp/38_sample_music.7z tmp
39;7.21;0.12;5.87;83%;22176;195224;196032;0;./7z_7z_decomp.sh tmp/39_sample_music.7z tmp
40;7.50;0.14;5.83;79%;22396;195224;196032;0;./7z_7z_decomp.sh tmp/40_sample_music.7z tmp
41;7.60;0.12;5.88;78%;22532;195224;196032;0;./7z_7z_decomp.sh tmp/41_sample_music.7z tmp
42;7.88;0.11;5.90;76%;22288;195224;196032;0;./7z_7z_decomp.sh tmp/42_sample_music.7z tmp
43;7.38;0.13;5.90;81%;22536;195224;196032;0;./7z_7z_decomp.sh tmp/43_sample_music.7z tmp
44;7.76;0.15;5.84;77%;22508;195224;196032;0;./7z_7z_decomp.sh tmp/44_sample_music.7z tmp
45;7.56;0.12;5.85;79%;22480;195224;196032;0;./7z_7z_decomp.sh tmp/45_sample_music.7z tmp
46;7.03;0.11;5.84;84%;22332;195224;196032;0;./7z_7z_decomp.sh tmp/46_sample_music.7z tmp
47;7.59;0.13;5.91;79%;22288;195224;196032;0;./7z_7z_decomp.sh tmp/47_sample_music.7z tmp
48;7.46;0.10;5.85;79%;22404;195224;196032;0;./7z_7z_decomp.sh tmp/48_sample_music.7z tmp
49;8.25;0.10;6.01;74%;22392;195224;196032;0;./7z_7z_decomp.sh tmp/49_sample_music.7z tmp
50;7.38;0.11;5.84;80%;22308;195224;196032;0;./7z_7z_decomp.sh tmp/50_sample_music.7z tmp
51;7.67;0.14;5.80;77%;22544;195224;196032;0;./7z_7z_decomp.sh tmp/51_sample_music.7z tmp
52;7.55;0.16;5.85;79%;22480;195224;196032;0;./7z_7z_decomp.sh tmp/52_sample_music.7z tmp
53;7.79;0.10;5.93;77%;22456;195224;196032;0;./7z_7z_decomp.sh tmp/53_sample_music.7z tmp
54;8.01;0.10;5.99;76%;22512;195224;196032;0;./7z_7z_decomp.sh tmp/54_sample_music.7z tmp
55;7.88;0.12;5.96;77%;22476;195224;196032;0;./7z_7z_decomp.sh tmp/55_sample_music.7z tmp
56;7.07;0.09;5.87;84%;22568;195224;196032;0;./7z_7z_decomp.sh tmp/56_sample_music.7z tmp
57;6.82;0.13;5.79;86%;22464;195224;196032;0;./7z_7z_decomp.sh tmp/57_sample_music.7z tmp
58;7.55;0.12;5.87;79%;22448;195224;196032;0;./7z_7z_decomp.sh tmp/58_sample_music.7z tmp
59;7.23;0.12;5.77;81%;22396;195224;196032;0;./7z_7z_decomp.sh tmp/59_sample_music.7z tmp
60;7.25;0.10;5.89;82%;22376;195224;196032;0;./7z_7z_decomp.sh tmp/60_sample_music.7z tmp
61;7.91;0.11;5.99;77%;22548;195224;196032;0;./7z_7z_decomp.sh tmp/61_sample_music.7z tmp
62;7.15;0.11;5.85;83%;22460;195224;196032;0;./7z_7z_decomp.sh tmp/62_sample_music.7z tmp
63;8.24;0.10;6.03;74%;22404;195224;196032;0;./7z_7z_decomp.sh tmp/63_sample_music.7z tmp
64;6.83;0.12;5.79;86%;22284;195224;196032;0;./7z_7z_decomp.sh tmp/64_sample_music.7z tmp
65;7.84;0.08;6.04;78%;22332;195224;196032;0;./7z_7z_decomp.sh tmp/65_sample_music.7z tmp
66;7.95;0.12;5.90;75%;22260;195224;196032;0;./7z_7z_decomp.sh tmp/66_sample_music.7z tmp
67;7.87;0.08;5.92;76%;22416;195224;196032;0;./7z_7z_decomp.sh tmp/67_sample_music.7z tmp
68;6.88;0.10;5.77;85%;22212;195224;196032;0;./7z_7z_decomp.sh tmp/68_sample_music.7z tmp
69;7.44;0.10;5.88;80%;22320;195224;196032;0;./7z_7z_decomp.sh tmp/69_sample_music.7z tmp
