id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;3.84;0.17;6.83;182%;18792;195304;196032;0;./7z_bzip2_decomp.sh tmp/0_sample_music.bz2 tmp
1;3.82;0.21;6.77;182%;18960;195304;196032;0;./7z_bzip2_decomp.sh tmp/1_sample_music.bz2 tmp
2;4.84;0.23;6.57;140%;18788;195304;196032;0;./7z_bzip2_decomp.sh tmp/2_sample_music.bz2 tmp
3;3.88;0.19;6.78;180%;18828;195048;196032;0;./7z_bzip2_decomp.sh tmp/3_sample_music.bz2 tmp
4;4.08;0.20;6.75;170%;18424;195104;196032;0;./7z_bzip2_decomp.sh tmp/4_sample_music.bz2 tmp
5;4.02;0.20;6.61;169%;18892;195048;196032;0;./7z_bzip2_decomp.sh tmp/5_sample_music.bz2 tmp
6;4.68;0.19;6.73;147%;18616;195240;196032;0;./7z_bzip2_decomp.sh tmp/6_sample_music.bz2 tmp
7;4.36;0.20;6.56;155%;18676;195304;196032;0;./7z_bzip2_decomp.sh tmp/7_sample_music.bz2 tmp
8;4.33;0.21;6.66;158%;18852;195304;196032;0;./7z_bzip2_decomp.sh tmp/8_sample_music.bz2 tmp
9;3.85;0.20;6.74;180%;18772;195040;196032;0;./7z_bzip2_decomp.sh tmp/9_sample_music.bz2 tmp
10;4.18;0.19;6.77;166%;18984;195176;196032;0;./7z_bzip2_decomp.sh tmp/10_sample_music.bz2 tmp
11;4.96;0.20;6.71;139%;18884;195304;196032;0;./7z_bzip2_decomp.sh tmp/11_sample_music.bz2 tmp
12;4.43;0.19;6.64;154%;18512;195176;196032;0;./7z_bzip2_decomp.sh tmp/12_sample_music.bz2 tmp
13;4.41;0.20;7.12;166%;18740;194920;196032;0;./7z_bzip2_decomp.sh tmp/13_sample_music.bz2 tmp
14;3.84;0.18;7.08;188%;18716;195304;196032;0;./7z_bzip2_decomp.sh tmp/14_sample_music.bz2 tmp
15;3.91;0.21;6.79;178%;18952;194536;196032;0;./7z_bzip2_decomp.sh tmp/15_sample_music.bz2 tmp
16;4.98;0.23;6.79;141%;18952;195296;196032;0;./7z_bzip2_decomp.sh tmp/16_sample_music.bz2 tmp
17;5.36;0.23;6.80;131%;18688;195048;196032;0;./7z_bzip2_decomp.sh tmp/17_sample_music.bz2 tmp
