id of repetition;uncompressed;compressed;decompressed
0;100361794;99953358;100361794
1;100361794;99953358;100361794
2;100361794;99953358;100361794
3;100361794;99953358;100361794
4;100361794;99953358;100361794
5;100361794;99953358;100361794
6;100361794;99953358;100361794
7;100361794;99953358;100361794
8;100361794;99953358;100361794
9;100361794;99953358;100361794
10;100361794;99953358;100361794
11;100361794;99953358;100361794
12;100361794;99953358;100361794
13;100361794;99953358;100361794
14;100361794;99953358;100361794
15;100361794;99953358;100361794
16;100361794;99953358;100361794
17;100361794;99953358;100361794
18;100361794;99953358;100361794
19;100361794;99953358;100361794
20;100361794;99953358;100361794
21;100361794;99953358;100361794
22;100361794;99953358;100361794
23;100361794;99953358;100361794
24;100361794;99953358;100361794
25;100361794;99953358;100361794
26;100361794;99953358;100361794
27;100361794;99953358;100361794
28;100361794;99953358;100361794
29;100361794;99953358;100361794
30;100361794;99953358;100361794
31;100361794;99953358;100361794
32;100361794;99953358;100361794
33;100361794;99953358;100361794
34;100361794;99953358;100361794
35;100361794;99953358;100361794
36;100361794;99953358;100361794
37;100361794;99953358;100361794
38;100361794;99953358;100361794
39;100361794;99953358;100361794
40;100361794;99953358;100361794
41;100361794;99953358;100361794
42;100361794;99953358;100361794
43;100361794;99953358;100361794
44;100361794;99953358;100361794
45;100361794;99953358;100361794
46;100361794;99953358;100361794
47;100361794;99953358;100361794
48;100361794;99953358;100361794
49;100361794;99953358;100361794
50;100361794;99953358;100361794
51;100361794;99953358;100361794
52;100361794;99953358;100361794
53;100361794;99953358;100361794
54;100361794;99953358;100361794
55;100361794;99953358;100361794
56;100361794;99953358;100361794
57;100361794;99953358;100361794
58;100361794;99953358;100361794
59;100361794;99953358;100361794
60;100361794;99953358;100361794
61;100361794;99953358;100361794
62;100361794;99953358;100361794
63;100361794;99953358;100361794
64;100361794;99953358;100361794
65;100361794;99953358;100361794
66;100361794;99953358;100361794
67;100361794;99953358;100361794
68;100361794;99953358;100361794
69;100361794;99953358;100361794
