id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;10.93;0.22;42.79;393%;49096;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/0_sample_vid.mp4.bz2
1;10.97;0.25;42.80;392%;49580;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/1_sample_vid.mp4.bz2
2;10.94;0.20;42.79;392%;48544;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/2_sample_vid.mp4.bz2
3;10.94;0.18;42.80;392%;48764;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/3_sample_vid.mp4.bz2
4;10.81;0.16;42.74;396%;49480;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/4_sample_vid.mp4.bz2
5;10.78;0.17;42.59;396%;49484;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/5_sample_vid.mp4.bz2
6;12.05;0.18;42.82;356%;48344;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/6_sample_vid.mp4.bz2
7;10.86;0.14;42.61;393%;49332;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/7_sample_vid.mp4.bz2
8;10.90;0.19;42.60;392%;49232;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/8_sample_vid.mp4.bz2
9;11.00;0.19;42.98;392%;48784;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/9_sample_vid.mp4.bz2
10;10.95;0.21;42.99;394%;49200;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/10_sample_vid.mp4.bz2
11;11.03;0.20;42.72;388%;49376;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/11_sample_vid.mp4.bz2
12;10.91;0.18;42.66;392%;48712;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/12_sample_vid.mp4.bz2
13;10.93;0.20;43.10;396%;48924;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/13_sample_vid.mp4.bz2
14;10.86;0.20;43.05;398%;48932;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/14_sample_vid.mp4.bz2
15;12.85;0.18;42.62;333%;48984;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/15_sample_vid.mp4.bz2
16;11.00;0.14;43.05;392%;48552;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/16_sample_vid.mp4.bz2
17;10.93;0.21;42.62;391%;49128;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/17_sample_vid.mp4.bz2
18;10.86;0.16;42.73;394%;49336;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/18_sample_vid.mp4.bz2
19;10.87;0.18;42.80;395%;49560;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/19_sample_vid.mp4.bz2
20;10.92;0.19;42.67;392%;49280;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/20_sample_vid.mp4.bz2
21;12.71;0.17;42.80;337%;49424;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/21_sample_vid.mp4.bz2
22;11.04;0.16;42.85;389%;48448;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/22_sample_vid.mp4.bz2
23;10.98;0.18;42.96;392%;49464;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/23_sample_vid.mp4.bz2
24;10.93;0.19;42.76;392%;48404;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/24_sample_vid.mp4.bz2
25;10.85;0.19;42.67;394%;49340;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/25_sample_vid.mp4.bz2
26;10.89;0.16;43.04;396%;48516;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/26_sample_vid.mp4.bz2
27;10.88;0.14;42.78;394%;48960;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/27_sample_vid.mp4.bz2
28;11.86;0.15;43.05;364%;49400;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/28_sample_vid.mp4.bz2
