id of repetition;uncompressed;compressed;decompressed
0;107909361;106857592;107909361
1;107909361;106857592;107909361
2;107909361;106857592;107909361
3;107909361;106857592;107909361
4;107909361;106857592;107909361
5;107909361;106857592;107909361
6;107909361;106857592;107909361
7;107909361;106857592;107909361
8;107909361;106857592;107909361
9;107909361;106857592;107909361
10;107909361;106857592;107909361
11;107909361;106857592;107909361
12;107909361;106857592;107909361
13;107909361;106857592;107909361
14;107909361;106857592;107909361
15;107909361;106857592;107909361
16;107909361;106857592;107909361
17;107909361;106857592;107909361
18;107909361;106857592;107909361
19;107909361;106857592;107909361
20;107909361;106857592;107909361
21;107909361;106857592;107909361
22;107909361;106857592;107909361
23;107909361;106857592;107909361
24;107909361;106857592;107909361
25;107909361;106857592;107909361
26;107909361;106857592;107909361
27;107909361;106857592;107909361
28;107909361;106857592;107909361
29;107909361;106857592;107909361
30;107909361;106857592;107909361
31;107909361;106857592;107909361
32;107909361;106857592;107909361
33;107909361;106857592;107909361
34;107909361;106857592;107909361
35;107909361;106857592;107909361
36;107909361;106857592;107909361
37;107909361;106857592;107909361
38;107909361;106857592;107909361
39;107909361;106857592;107909361
40;107909361;106857592;107909361
41;107909361;106857592;107909361
42;107909361;106857592;107909361
43;107909361;106857592;107909361
44;107909361;106857592;107909361
45;107909361;106857592;107909361
46;107909361;106857592;107909361
47;107909361;106857592;107909361
48;107909361;106857592;107909361
49;107909361;106857592;107909361
50;107909361;106857592;107909361
51;107909361;106857592;107909361
52;107909361;106857592;107909361
53;107909361;106857592;107909361
54;107909361;106857592;107909361
55;107909361;106857592;107909361
56;107909361;106857592;107909361
57;107909361;106857592;107909361
58;107909361;106857592;107909361
59;107909361;106857592;107909361
60;107909361;106857592;107909361
61;107909361;106857592;107909361
62;107909361;106857592;107909361
63;107909361;106857592;107909361
64;107909361;106857592;107909361
65;107909361;106857592;107909361
66;107909361;106857592;107909361
67;107909361;106857592;107909361
68;107909361;106857592;107909361
69;107909361;106857592;107909361
