id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;10.09;0.27;32.92;328%;48632;208712;95944;0;./7z_bzip2_comp.sh sample_config tmp/0_sample_config.bz2
1;8.81;0.15;34.27;390%;48888;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/1_sample_config.bz2
2;8.90;0.13;34.07;384%;49504;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/2_sample_config.bz2
3;8.86;0.15;34.14;387%;49552;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/3_sample_config.bz2
4;8.91;0.15;34.16;384%;49628;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/4_sample_config.bz2
5;8.93;0.13;34.29;385%;48976;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/5_sample_config.bz2
6;8.89;0.15;34.25;387%;48552;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/6_sample_config.bz2
7;8.92;0.10;34.19;384%;48464;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/7_sample_config.bz2
8;8.88;0.16;34.23;387%;49212;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/8_sample_config.bz2
9;8.84;0.14;34.23;388%;49344;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/9_sample_config.bz2
10;8.86;0.12;34.22;387%;48316;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/10_sample_config.bz2
11;8.90;0.15;34.22;386%;49284;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/11_sample_config.bz2
12;8.96;0.12;34.09;381%;49004;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/12_sample_config.bz2
13;8.97;0.17;33.95;380%;49224;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/13_sample_config.bz2
14;8.87;0.13;34.28;387%;48812;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/14_sample_config.bz2
15;9.48;0.16;34.03;360%;48880;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/15_sample_config.bz2
16;8.91;0.11;34.18;384%;49104;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/16_sample_config.bz2
17;8.90;0.14;34.30;386%;48440;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/17_sample_config.bz2
18;8.88;0.14;34.13;385%;49336;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/18_sample_config.bz2
19;8.88;0.13;34.19;386%;49524;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/19_sample_config.bz2
20;8.88;0.12;34.15;385%;49444;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/20_sample_config.bz2
21;8.89;0.16;34.15;385%;48460;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/21_sample_config.bz2
22;9.38;0.15;34.22;366%;48956;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/22_sample_config.bz2
23;8.92;0.17;34.10;384%;49088;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/23_sample_config.bz2
24;8.88;0.16;34.28;387%;49356;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/24_sample_config.bz2
25;8.89;0.15;34.23;386%;49444;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/25_sample_config.bz2
26;8.91;0.17;34.05;383%;49472;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/26_sample_config.bz2
27;8.89;0.14;34.31;387%;48808;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/27_sample_config.bz2
28;9.30;0.10;34.19;368%;49052;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/28_sample_config.bz2
29;8.92;0.12;34.27;385%;49536;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/29_sample_config.bz2
30;8.90;0.14;34.29;386%;49412;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/30_sample_config.bz2
31;8.89;0.17;34.19;386%;49040;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/31_sample_config.bz2
32;8.90;0.16;34.16;385%;49504;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/32_sample_config.bz2
33;8.93;0.13;34.16;384%;49420;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/33_sample_config.bz2
34;8.92;0.12;34.18;384%;49284;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/34_sample_config.bz2
35;8.91;0.17;34.21;385%;49500;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/35_sample_config.bz2
36;8.86;0.15;34.25;388%;48844;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/36_sample_config.bz2
37;8.92;0.14;34.20;384%;49008;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/37_sample_config.bz2
38;8.86;0.15;34.07;385%;49520;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/38_sample_config.bz2
39;9.30;0.15;34.30;370%;49460;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/39_sample_config.bz2
40;10.33;0.14;34.24;332%;48540;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/40_sample_config.bz2
41;8.90;0.16;34.14;385%;49532;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/41_sample_config.bz2
42;8.84;0.18;34.27;389%;49652;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/42_sample_config.bz2
43;8.86;0.13;34.35;388%;49252;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/43_sample_config.bz2
44;8.83;0.14;34.22;389%;49520;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/44_sample_config.bz2
45;8.85;0.16;34.30;389%;48388;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/45_sample_config.bz2
46;8.95;0.16;34.19;383%;49008;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/46_sample_config.bz2
47;8.88;0.17;34.10;385%;49244;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/47_sample_config.bz2
48;8.86;0.14;34.16;387%;49752;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/48_sample_config.bz2
49;8.89;0.15;34.13;385%;49600;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/49_sample_config.bz2
50;8.91;0.17;34.15;384%;49188;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/50_sample_config.bz2
51;8.85;0.13;34.34;389%;49436;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/51_sample_config.bz2
52;8.89;0.14;34.17;385%;49020;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/52_sample_config.bz2
53;8.98;0.17;34.01;380%;48852;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/53_sample_config.bz2
54;8.87;0.13;34.23;387%;48548;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/54_sample_config.bz2
55;8.93;0.12;34.16;383%;49452;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/55_sample_config.bz2
56;8.96;0.12;34.12;382%;48540;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/56_sample_config.bz2
57;8.89;0.16;34.11;385%;49440;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/57_sample_config.bz2
58;8.88;0.17;34.23;387%;49632;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/58_sample_config.bz2
59;8.99;0.14;34.06;380%;48680;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/59_sample_config.bz2
60;8.94;0.15;34.13;383%;49060;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/60_sample_config.bz2
61;8.87;0.17;34.21;387%;48608;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/61_sample_config.bz2
62;8.92;0.14;34.16;384%;49564;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/62_sample_config.bz2
63;8.91;0.13;34.26;385%;49108;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/63_sample_config.bz2
64;8.83;0.18;34.17;388%;49452;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/64_sample_config.bz2
65;8.86;0.17;34.21;387%;49652;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/65_sample_config.bz2
66;8.92;0.15;34.13;384%;49452;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/66_sample_config.bz2
67;8.88;0.13;34.31;387%;55120;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/67_sample_config.bz2
68;8.87;0.16;34.19;387%;48968;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/68_sample_config.bz2
69;9.13;0.14;34.10;374%;48516;0;95944;0;./7z_bzip2_comp.sh sample_config tmp/69_sample_config.bz2
