id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;1.60;0.12;1.47;99%;22652;264;208840;0;./7z_7z_decomp.sh tmp/0_sample_config.7z tmp
1;1.65;0.15;1.45;97%;22804;2064;208840;0;./7z_7z_decomp.sh tmp/1_sample_config.7z tmp
2;1.60;0.13;1.46;99%;22776;8;208840;0;./7z_7z_decomp.sh tmp/2_sample_config.7z tmp
3;1.60;0.12;1.47;99%;22680;0;208840;0;./7z_7z_decomp.sh tmp/3_sample_config.7z tmp
4;1.60;0.15;1.45;99%;22804;0;208840;0;./7z_7z_decomp.sh tmp/4_sample_config.7z tmp
5;1.65;0.17;1.45;98%;22848;8;208840;0;./7z_7z_decomp.sh tmp/5_sample_config.7z tmp
6;1.61;0.17;1.44;99%;22820;0;208840;0;./7z_7z_decomp.sh tmp/6_sample_config.7z tmp
7;1.61;0.15;1.45;100%;22820;0;208840;0;./7z_7z_decomp.sh tmp/7_sample_config.7z tmp
8;1.60;0.15;1.44;99%;22744;0;208840;0;./7z_7z_decomp.sh tmp/8_sample_config.7z tmp
9;6.09;0.16;1.48;27%;22704;0;208840;0;./7z_7z_decomp.sh tmp/9_sample_config.7z tmp
10;5.62;0.13;1.49;28%;22784;8;208840;0;./7z_7z_decomp.sh tmp/10_sample_config.7z tmp
11;4.73;0.12;1.50;34%;22824;0;208840;0;./7z_7z_decomp.sh tmp/11_sample_config.7z tmp
12;1.61;0.14;1.46;99%;22832;0;208840;0;./7z_7z_decomp.sh tmp/12_sample_config.7z tmp
13;1.63;0.19;1.44;99%;22796;0;208840;0;./7z_7z_decomp.sh tmp/13_sample_config.7z tmp
14;1.60;0.15;1.44;99%;22788;0;208840;0;./7z_7z_decomp.sh tmp/14_sample_config.7z tmp
15;4.54;0.13;1.48;35%;22744;0;208840;0;./7z_7z_decomp.sh tmp/15_sample_config.7z tmp
16;3.33;0.13;1.48;48%;22848;8;208840;0;./7z_7z_decomp.sh tmp/16_sample_config.7z tmp
17;2.39;0.15;1.50;69%;22916;0;208840;0;./7z_7z_decomp.sh tmp/17_sample_config.7z tmp
18;4.38;0.16;1.44;36%;22828;0;208840;0;./7z_7z_decomp.sh tmp/18_sample_config.7z tmp
19;1.63;0.15;1.47;99%;22880;0;208840;0;./7z_7z_decomp.sh tmp/19_sample_config.7z tmp
20;1.60;0.16;1.43;99%;22848;0;208840;0;./7z_7z_decomp.sh tmp/20_sample_config.7z tmp
21;1.66;0.18;1.42;96%;22776;8;208840;0;./7z_7z_decomp.sh tmp/21_sample_config.7z tmp
22;1.78;0.16;1.46;90%;22772;0;208840;0;./7z_7z_decomp.sh tmp/22_sample_config.7z tmp
23;1.60;0.15;1.44;99%;22676;0;208840;0;./7z_7z_decomp.sh tmp/23_sample_config.7z tmp
24;1.61;0.17;1.43;99%;22884;0;208840;0;./7z_7z_decomp.sh tmp/24_sample_config.7z tmp
25;1.60;0.15;1.44;99%;22748;0;208840;0;./7z_7z_decomp.sh tmp/25_sample_config.7z tmp
26;15.79;0.18;1.49;10%;22668;384;208840;0;./7z_7z_decomp.sh tmp/26_sample_config.7z tmp
27;1.65;0.13;1.47;96%;22804;8;208840;0;./7z_7z_decomp.sh tmp/27_sample_config.7z tmp
28;1.60;0.15;1.45;99%;22884;0;208840;0;./7z_7z_decomp.sh tmp/28_sample_config.7z tmp
29;1.60;0.14;1.46;99%;22944;0;208840;0;./7z_7z_decomp.sh tmp/29_sample_config.7z tmp
30;1.68;0.17;1.48;97%;22676;0;208840;0;./7z_7z_decomp.sh tmp/30_sample_config.7z tmp
31;1.60;0.16;1.44;99%;22824;0;208840;0;./7z_7z_decomp.sh tmp/31_sample_config.7z tmp
32;1.66;0.13;1.49;98%;22756;544;208840;0;./7z_7z_decomp.sh tmp/32_sample_config.7z tmp
33;1.77;0.17;1.53;96%;22680;352;208840;0;./7z_7z_decomp.sh tmp/33_sample_config.7z tmp
34;2.73;0.15;1.51;61%;22680;408;208840;0;./7z_7z_decomp.sh tmp/34_sample_config.7z tmp
35;1.67;0.16;1.50;99%;22880;336;208840;0;./7z_7z_decomp.sh tmp/35_sample_config.7z tmp
36;4.32;0.18;1.53;39%;22716;160;208840;0;./7z_7z_decomp.sh tmp/36_sample_config.7z tmp
37;1.64;0.17;1.45;99%;22936;712;208840;0;./7z_7z_decomp.sh tmp/37_sample_config.7z tmp
38;1.82;0.16;1.54;93%;22808;136;208840;0;./7z_7z_decomp.sh tmp/38_sample_config.7z tmp
