id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;35.35;0.45;86.47;245%;470780;195584;50952;0;./7z_7z_comp.sh tmp/0_sample_enwik8.7z sample_enwik8
1;34.30;0.34;86.03;251%;469008;0;50952;0;./7z_7z_comp.sh tmp/1_sample_enwik8.7z sample_enwik8
2;34.73;0.39;87.66;253%;468228;0;50952;0;./7z_7z_comp.sh tmp/2_sample_enwik8.7z sample_enwik8
3;34.96;0.33;87.86;252%;467684;0;50952;0;./7z_7z_comp.sh tmp/3_sample_enwik8.7z sample_enwik8
4;34.84;0.35;87.84;253%;467628;0;50952;0;./7z_7z_comp.sh tmp/4_sample_enwik8.7z sample_enwik8
5;35.27;0.33;87.27;248%;469096;0;50952;0;./7z_7z_comp.sh tmp/5_sample_enwik8.7z sample_enwik8
6;34.42;0.37;88.89;259%;469112;0;50952;0;./7z_7z_comp.sh tmp/6_sample_enwik8.7z sample_enwik8
7;34.93;0.36;87.64;251%;468024;0;50952;0;./7z_7z_comp.sh tmp/7_sample_enwik8.7z sample_enwik8
8;34.97;0.30;87.23;250%;468276;0;50952;0;./7z_7z_comp.sh tmp/8_sample_enwik8.7z sample_enwik8
9;35.17;0.40;88.05;251%;468384;0;50952;0;./7z_7z_comp.sh tmp/9_sample_enwik8.7z sample_enwik8
10;34.78;0.41;87.46;252%;468556;0;50952;0;./7z_7z_comp.sh tmp/10_sample_enwik8.7z sample_enwik8
11;34.64;0.34;87.58;253%;467868;0;50952;0;./7z_7z_comp.sh tmp/11_sample_enwik8.7z sample_enwik8
12;34.75;0.38;87.49;252%;469152;0;50952;0;./7z_7z_comp.sh tmp/12_sample_enwik8.7z sample_enwik8
13;34.75;0.29;87.78;253%;467596;0;50952;0;./7z_7z_comp.sh tmp/13_sample_enwik8.7z sample_enwik8
14;34.74;0.39;88.19;254%;469476;0;50952;0;./7z_7z_comp.sh tmp/14_sample_enwik8.7z sample_enwik8
15;35.01;0.31;87.73;251%;467028;0;50952;0;./7z_7z_comp.sh tmp/15_sample_enwik8.7z sample_enwik8
16;34.75;0.35;88.47;255%;467996;0;50952;0;./7z_7z_comp.sh tmp/16_sample_enwik8.7z sample_enwik8
17;34.98;0.41;87.53;251%;467800;0;50952;0;./7z_7z_comp.sh tmp/17_sample_enwik8.7z sample_enwik8
18;34.73;0.30;88.07;254%;467912;0;50952;0;./7z_7z_comp.sh tmp/18_sample_enwik8.7z sample_enwik8
19;34.81;0.32;87.88;253%;466708;0;50952;0;./7z_7z_comp.sh tmp/19_sample_enwik8.7z sample_enwik8
20;35.09;0.28;87.71;250%;469944;0;50952;0;./7z_7z_comp.sh tmp/20_sample_enwik8.7z sample_enwik8
21;34.70;0.35;87.76;253%;468612;0;50952;0;./7z_7z_comp.sh tmp/21_sample_enwik8.7z sample_enwik8
22;34.87;0.33;87.93;253%;467980;0;50952;0;./7z_7z_comp.sh tmp/22_sample_enwik8.7z sample_enwik8
23;35.15;0.38;87.40;249%;468028;0;50952;0;./7z_7z_comp.sh tmp/23_sample_enwik8.7z sample_enwik8
24;34.89;0.37;88.17;253%;467812;0;50952;0;./7z_7z_comp.sh tmp/24_sample_enwik8.7z sample_enwik8
25;35.05;0.39;87.37;250%;467552;0;50952;0;./7z_7z_comp.sh tmp/25_sample_enwik8.7z sample_enwik8
26;35.32;0.34;88.14;250%;469288;0;50952;0;./7z_7z_comp.sh tmp/26_sample_enwik8.7z sample_enwik8
27;34.81;0.36;88.40;254%;467764;0;50952;0;./7z_7z_comp.sh tmp/27_sample_enwik8.7z sample_enwik8
28;34.72;0.34;88.42;255%;468704;0;50952;0;./7z_7z_comp.sh tmp/28_sample_enwik8.7z sample_enwik8
29;35.02;0.38;87.75;251%;467768;0;50952;0;./7z_7z_comp.sh tmp/29_sample_enwik8.7z sample_enwik8
30;34.82;0.36;87.87;253%;468400;0;50952;0;./7z_7z_comp.sh tmp/30_sample_enwik8.7z sample_enwik8
31;34.89;0.40;87.86;252%;467984;0;50952;0;./7z_7z_comp.sh tmp/31_sample_enwik8.7z sample_enwik8
32;34.87;0.34;88.18;253%;467936;0;50952;0;./7z_7z_comp.sh tmp/32_sample_enwik8.7z sample_enwik8
33;34.63;0.28;88.25;255%;467616;0;50952;0;./7z_7z_comp.sh tmp/33_sample_enwik8.7z sample_enwik8
34;35.30;0.25;88.15;250%;468552;0;50952;0;./7z_7z_comp.sh tmp/34_sample_enwik8.7z sample_enwik8
35;34.98;0.42;88.07;252%;468052;0;50952;0;./7z_7z_comp.sh tmp/35_sample_enwik8.7z sample_enwik8
36;34.99;0.34;88.18;252%;467988;0;50952;0;./7z_7z_comp.sh tmp/36_sample_enwik8.7z sample_enwik8
37;34.86;0.31;88.43;254%;467720;0;50944;0;./7z_7z_comp.sh tmp/37_sample_enwik8.7z sample_enwik8
38;34.99;0.33;87.96;252%;468684;0;50952;0;./7z_7z_comp.sh tmp/38_sample_enwik8.7z sample_enwik8
39;34.88;0.29;88.02;253%;468572;0;50952;0;./7z_7z_comp.sh tmp/39_sample_enwik8.7z sample_enwik8
40;35.06;0.34;88.06;252%;469368;0;50952;0;./7z_7z_comp.sh tmp/40_sample_enwik8.7z sample_enwik8
41;34.97;0.41;87.34;250%;467124;0;50952;0;./7z_7z_comp.sh tmp/41_sample_enwik8.7z sample_enwik8
42;35.01;0.37;87.63;251%;467004;0;50952;0;./7z_7z_comp.sh tmp/42_sample_enwik8.7z sample_enwik8
43;34.81;0.31;88.09;253%;467796;0;50952;0;./7z_7z_comp.sh tmp/43_sample_enwik8.7z sample_enwik8
44;35.00;0.39;87.86;252%;467384;0;50952;0;./7z_7z_comp.sh tmp/44_sample_enwik8.7z sample_enwik8
45;34.78;0.35;88.08;254%;466800;0;50952;0;./7z_7z_comp.sh tmp/45_sample_enwik8.7z sample_enwik8
46;34.82;0.34;88.39;254%;467356;0;50952;0;./7z_7z_comp.sh tmp/46_sample_enwik8.7z sample_enwik8
47;34.71;0.35;87.95;254%;467540;0;50944;0;./7z_7z_comp.sh tmp/47_sample_enwik8.7z sample_enwik8
48;34.85;0.41;87.79;253%;467392;0;50952;0;./7z_7z_comp.sh tmp/48_sample_enwik8.7z sample_enwik8
