id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;1.49;0.07;1.40;99%;22040;272;195320;0;./7z_7z_decomp.sh tmp/0_sample_enwik8.7z tmp
1;1.47;0.05;1.42;100%;22228;0;195320;0;./7z_7z_decomp.sh tmp/1_sample_enwik8.7z tmp
2;1.48;0.05;1.42;99%;22380;0;195320;0;./7z_7z_decomp.sh tmp/2_sample_enwik8.7z tmp
3;1.47;0.05;1.42;99%;22156;0;195320;0;./7z_7z_decomp.sh tmp/3_sample_enwik8.7z tmp
4;1.48;0.06;1.41;99%;22504;0;195320;0;./7z_7z_decomp.sh tmp/4_sample_enwik8.7z tmp
5;1.48;0.05;1.42;99%;22216;0;195320;0;./7z_7z_decomp.sh tmp/5_sample_enwik8.7z tmp
6;1.48;0.06;1.41;100%;22456;0;195320;0;./7z_7z_decomp.sh tmp/6_sample_enwik8.7z tmp
7;1.51;0.05;1.45;99%;22108;0;195320;0;./7z_7z_decomp.sh tmp/7_sample_enwik8.7z tmp
8;1.48;0.06;1.42;99%;22504;0;195320;0;./7z_7z_decomp.sh tmp/8_sample_enwik8.7z tmp
9;1.48;0.05;1.43;99%;22060;0;195320;0;./7z_7z_decomp.sh tmp/9_sample_enwik8.7z tmp
10;1.48;0.06;1.42;99%;22200;0;195320;0;./7z_7z_decomp.sh tmp/10_sample_enwik8.7z tmp
11;1.48;0.04;1.43;99%;22372;0;195320;0;./7z_7z_decomp.sh tmp/11_sample_enwik8.7z tmp
12;1.51;0.06;1.44;99%;22356;0;195320;0;./7z_7z_decomp.sh tmp/12_sample_enwik8.7z tmp
13;1.48;0.04;1.43;99%;22348;0;195320;0;./7z_7z_decomp.sh tmp/13_sample_enwik8.7z tmp
14;1.97;0.05;1.43;75%;22200;0;195320;0;./7z_7z_decomp.sh tmp/14_sample_enwik8.7z tmp
15;1.48;0.06;1.41;99%;22136;0;195320;0;./7z_7z_decomp.sh tmp/15_sample_enwik8.7z tmp
16;1.48;0.06;1.41;99%;22140;0;195320;0;./7z_7z_decomp.sh tmp/16_sample_enwik8.7z tmp
17;1.52;0.05;1.44;98%;22216;0;195320;0;./7z_7z_decomp.sh tmp/17_sample_enwik8.7z tmp
18;3.53;0.03;1.44;41%;22360;0;195320;0;./7z_7z_decomp.sh tmp/18_sample_enwik8.7z tmp
19;1.47;0.06;1.41;99%;22144;0;195320;0;./7z_7z_decomp.sh tmp/19_sample_enwik8.7z tmp
20;4.91;0.02;1.46;30%;22164;0;195320;0;./7z_7z_decomp.sh tmp/20_sample_enwik8.7z tmp
21;1.51;0.05;1.45;99%;22180;0;195320;0;./7z_7z_decomp.sh tmp/21_sample_enwik8.7z tmp
22;1.47;0.07;1.40;99%;22192;0;195320;0;./7z_7z_decomp.sh tmp/22_sample_enwik8.7z tmp
23;1.47;0.06;1.41;99%;22204;0;195320;0;./7z_7z_decomp.sh tmp/23_sample_enwik8.7z tmp
24;1.48;0.06;1.41;99%;22536;0;195320;0;./7z_7z_decomp.sh tmp/24_sample_enwik8.7z tmp
25;1.78;0.06;1.42;83%;22536;0;195320;0;./7z_7z_decomp.sh tmp/25_sample_enwik8.7z tmp
26;1.48;0.05;1.42;99%;22164;0;195320;0;./7z_7z_decomp.sh tmp/26_sample_enwik8.7z tmp
27;1.47;0.05;1.41;99%;22456;0;195320;0;./7z_7z_decomp.sh tmp/27_sample_enwik8.7z tmp
28;1.51;0.05;1.46;99%;22068;0;195320;0;./7z_7z_decomp.sh tmp/28_sample_enwik8.7z tmp
29;1.48;0.04;1.43;100%;22004;0;195320;0;./7z_7z_decomp.sh tmp/29_sample_enwik8.7z tmp
30;1.49;0.05;1.44;99%;22192;0;195320;0;./7z_7z_decomp.sh tmp/30_sample_enwik8.7z tmp
31;1.48;0.06;1.41;99%;22204;0;195320;0;./7z_7z_decomp.sh tmp/31_sample_enwik8.7z tmp
32;1.53;0.05;1.43;97%;22460;0;195320;0;./7z_7z_decomp.sh tmp/32_sample_enwik8.7z tmp
33;1.47;0.04;1.43;100%;22392;0;195320;0;./7z_7z_decomp.sh tmp/33_sample_enwik8.7z tmp
