id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;2.47;0.15;3.95;166%;18836;0;195320;0;./7z_bzip2_decomp.sh tmp/0_sample_enwik8.bz2 tmp
1;2.50;0.16;3.96;165%;18632;0;195320;0;./7z_bzip2_decomp.sh tmp/1_sample_enwik8.bz2 tmp
2;2.47;0.15;3.94;165%;19008;0;195320;0;./7z_bzip2_decomp.sh tmp/2_sample_enwik8.bz2 tmp
3;2.45;0.16;3.93;166%;18904;0;195320;0;./7z_bzip2_decomp.sh tmp/3_sample_enwik8.bz2 tmp
4;2.43;0.15;3.90;166%;18848;0;195320;0;./7z_bzip2_decomp.sh tmp/4_sample_enwik8.bz2 tmp
5;7.37;0.17;3.95;55%;18824;0;195320;0;./7z_bzip2_decomp.sh tmp/5_sample_enwik8.bz2 tmp
6;2.65;0.15;4.12;161%;18788;0;195320;0;./7z_bzip2_decomp.sh tmp/6_sample_enwik8.bz2 tmp
7;2.45;0.16;3.92;166%;18676;0;195320;0;./7z_bzip2_decomp.sh tmp/7_sample_enwik8.bz2 tmp
8;2.43;0.15;3.90;166%;18584;0;195320;0;./7z_bzip2_decomp.sh tmp/8_sample_enwik8.bz2 tmp
9;2.51;0.16;3.99;165%;18588;0;195320;0;./7z_bzip2_decomp.sh tmp/9_sample_enwik8.bz2 tmp
10;2.51;0.15;3.99;164%;18928;0;195320;0;./7z_bzip2_decomp.sh tmp/10_sample_enwik8.bz2 tmp
11;2.49;0.15;3.96;165%;18664;0;195320;0;./7z_bzip2_decomp.sh tmp/11_sample_enwik8.bz2 tmp
12;2.46;0.17;3.91;165%;18928;0;195320;0;./7z_bzip2_decomp.sh tmp/12_sample_enwik8.bz2 tmp
13;2.72;0.16;4.15;158%;18880;0;195320;0;./7z_bzip2_decomp.sh tmp/13_sample_enwik8.bz2 tmp
14;2.42;0.14;3.92;167%;19164;0;195320;0;./7z_bzip2_decomp.sh tmp/14_sample_enwik8.bz2 tmp
15;2.47;0.15;3.93;165%;18812;0;195320;0;./7z_bzip2_decomp.sh tmp/15_sample_enwik8.bz2 tmp
16;2.48;0.15;3.95;164%;18640;0;195320;0;./7z_bzip2_decomp.sh tmp/16_sample_enwik8.bz2 tmp
17;2.43;0.18;3.88;167%;18960;0;195320;0;./7z_bzip2_decomp.sh tmp/17_sample_enwik8.bz2 tmp
18;2.47;0.17;3.89;163%;18680;0;195320;0;./7z_bzip2_decomp.sh tmp/18_sample_enwik8.bz2 tmp
19;2.45;0.14;3.94;166%;18984;0;195320;0;./7z_bzip2_decomp.sh tmp/19_sample_enwik8.bz2 tmp
