id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;6.18;0.21;6.70;111%;22688;193280;195712;0;./7z_bzip2_decomp.sh tmp/0_sample_image-data.bz2 tmp
1;3.73;0.19;6.54;180%;18944;193232;195712;0;./7z_bzip2_decomp.sh tmp/1_sample_image-data.bz2 tmp
2;3.93;0.22;6.54;171%;18836;193248;195712;0;./7z_bzip2_decomp.sh tmp/2_sample_image-data.bz2 tmp
3;3.72;0.18;6.50;179%;18660;193280;195712;0;./7z_bzip2_decomp.sh tmp/3_sample_image-data.bz2 tmp
4;4.20;0.19;6.64;162%;18712;193280;195712;0;./7z_bzip2_decomp.sh tmp/4_sample_image-data.bz2 tmp
5;4.05;0.20;6.60;167%;18944;193280;195712;0;./7z_bzip2_decomp.sh tmp/5_sample_image-data.bz2 tmp
6;5.04;0.22;6.46;132%;18972;193280;195712;0;./7z_bzip2_decomp.sh tmp/6_sample_image-data.bz2 tmp
7;4.52;0.21;6.47;147%;18644;193280;195712;0;./7z_bzip2_decomp.sh tmp/7_sample_image-data.bz2 tmp
8;3.75;0.18;6.79;186%;18992;193152;195712;0;./7z_bzip2_decomp.sh tmp/8_sample_image-data.bz2 tmp
9;3.73;0.19;6.79;187%;18872;193280;195712;0;./7z_bzip2_decomp.sh tmp/9_sample_image-data.bz2 tmp
10;4.86;0.25;6.74;143%;18648;193272;195712;0;./7z_bzip2_decomp.sh tmp/10_sample_image-data.bz2 tmp
11;6.28;0.20;6.84;112%;18924;193280;195712;0;./7z_bzip2_decomp.sh tmp/11_sample_image-data.bz2 tmp
12;4.25;0.27;6.77;165%;18660;193280;195712;0;./7z_bzip2_decomp.sh tmp/12_sample_image-data.bz2 tmp
13;3.73;0.21;6.74;186%;18648;193024;195712;0;./7z_bzip2_decomp.sh tmp/13_sample_image-data.bz2 tmp
14;3.73;0.19;6.64;183%;18972;193280;195712;0;./7z_bzip2_decomp.sh tmp/14_sample_image-data.bz2 tmp
15;4.19;0.20;6.54;160%;18760;193280;195712;0;./7z_bzip2_decomp.sh tmp/15_sample_image-data.bz2 tmp
16;5.60;0.19;6.65;122%;18812;193280;195712;0;./7z_bzip2_decomp.sh tmp/16_sample_image-data.bz2 tmp
17;5.23;0.19;6.59;129%;18748;193280;195712;0;./7z_bzip2_decomp.sh tmp/17_sample_image-data.bz2 tmp
18;4.28;0.24;6.64;160%;18780;192768;195712;0;./7z_bzip2_decomp.sh tmp/18_sample_image-data.bz2 tmp
19;3.70;0.22;6.48;181%;18788;193280;195712;0;./7z_bzip2_decomp.sh tmp/19_sample_image-data.bz2 tmp
20;3.70;0.20;6.62;184%;18900;193280;195712;0;./7z_bzip2_decomp.sh tmp/20_sample_image-data.bz2 tmp
21;11.50;0.23;6.69;60%;20800;193280;195720;0;./7z_bzip2_decomp.sh tmp/21_sample_image-data.bz2 tmp
22;3.69;0.19;6.56;182%;18800;193280;195712;0;./7z_bzip2_decomp.sh tmp/22_sample_image-data.bz2 tmp
23;3.68;0.19;6.48;181%;18892;193280;195712;0;./7z_bzip2_decomp.sh tmp/23_sample_image-data.bz2 tmp
24;3.68;0.19;6.50;181%;18792;193280;195712;0;./7z_bzip2_decomp.sh tmp/24_sample_image-data.bz2 tmp
25;4.07;0.21;6.60;167%;18940;192256;195712;0;./7z_bzip2_decomp.sh tmp/25_sample_image-data.bz2 tmp
26;4.23;0.21;6.57;160%;18488;191240;195712;0;./7z_bzip2_decomp.sh tmp/26_sample_image-data.bz2 tmp
27;4.15;0.22;6.40;159%;18952;193280;195712;0;./7z_bzip2_decomp.sh tmp/27_sample_image-data.bz2 tmp
28;5.15;0.19;6.83;136%;19008;193280;195712;0;./7z_bzip2_decomp.sh tmp/28_sample_image-data.bz2 tmp
29;4.81;0.25;6.56;141%;18780;193280;195712;0;./7z_bzip2_decomp.sh tmp/29_sample_image-data.bz2 tmp
30;4.00;0.18;6.46;166%;18916;193280;195712;0;./7z_bzip2_decomp.sh tmp/30_sample_image-data.bz2 tmp
31;3.69;0.20;6.50;181%;18944;193280;195712;0;./7z_bzip2_decomp.sh tmp/31_sample_image-data.bz2 tmp
32;3.74;0.21;6.46;178%;18936;193280;195712;0;./7z_bzip2_decomp.sh tmp/32_sample_image-data.bz2 tmp
33;4.49;0.22;6.55;151%;18812;193280;195712;0;./7z_bzip2_decomp.sh tmp/33_sample_image-data.bz2 tmp
34;4.82;0.22;6.46;138%;18952;193280;195712;0;./7z_bzip2_decomp.sh tmp/34_sample_image-data.bz2 tmp
35;4.65;0.22;6.45;143%;18716;193152;195712;0;./7z_bzip2_decomp.sh tmp/35_sample_image-data.bz2 tmp
36;3.77;0.19;6.56;179%;18836;193024;195712;0;./7z_bzip2_decomp.sh tmp/36_sample_image-data.bz2 tmp
37;3.72;0.20;6.51;180%;18700;192520;195712;0;./7z_bzip2_decomp.sh tmp/37_sample_image-data.bz2 tmp
38;4.56;0.19;6.61;149%;18656;192512;195712;0;./7z_bzip2_decomp.sh tmp/38_sample_image-data.bz2 tmp
39;4.83;0.16;6.57;139%;18760;193024;195712;0;./7z_bzip2_decomp.sh tmp/39_sample_image-data.bz2 tmp
40;4.27;0.18;6.76;162%;19164;193024;195712;0;./7z_bzip2_decomp.sh tmp/40_sample_image-data.bz2 tmp
41;3.97;0.21;6.72;174%;18892;192768;195712;0;./7z_bzip2_decomp.sh tmp/41_sample_image-data.bz2 tmp
42;3.76;0.23;6.48;178%;18956;192768;195712;0;./7z_bzip2_decomp.sh tmp/42_sample_image-data.bz2 tmp
43;4.60;0.21;6.69;150%;18808;192256;195712;0;./7z_bzip2_decomp.sh tmp/43_sample_image-data.bz2 tmp
44;4.95;0.21;6.64;138%;18804;192768;195712;0;./7z_bzip2_decomp.sh tmp/44_sample_image-data.bz2 tmp
45;4.52;0.21;6.74;153%;18736;193280;195712;0;./7z_bzip2_decomp.sh tmp/45_sample_image-data.bz2 tmp
46;3.91;0.18;6.57;172%;18900;193280;195712;0;./7z_bzip2_decomp.sh tmp/46_sample_image-data.bz2 tmp
47;3.84;0.20;7.29;195%;18836;193280;195712;0;./7z_bzip2_decomp.sh tmp/47_sample_image-data.bz2 tmp
48;3.76;0.20;7.01;191%;18928;193280;195712;0;./7z_bzip2_decomp.sh tmp/48_sample_image-data.bz2 tmp
49;5.14;0.20;6.94;139%;18676;193280;195712;0;./7z_bzip2_decomp.sh tmp/49_sample_image-data.bz2 tmp
