id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;4.40;0.14;2.58;62%;22264;194584;195712;0;./7z_7z_decomp.sh tmp/0_sample_image-data.7z tmp
1;4.38;0.16;2.61;63%;22348;194352;195712;0;./7z_7z_decomp.sh tmp/1_sample_image-data.7z tmp
2;5.56;0.14;2.58;49%;22308;194352;195712;0;./7z_7z_decomp.sh tmp/2_sample_image-data.7z tmp
3;2.80;0.10;2.34;87%;22528;194352;195712;0;./7z_7z_decomp.sh tmp/3_sample_image-data.7z tmp
4;3.83;0.17;2.50;69%;22208;194352;195712;0;./7z_7z_decomp.sh tmp/4_sample_image-data.7z tmp
5;5.19;0.14;2.59;52%;22308;194352;195712;0;./7z_7z_decomp.sh tmp/5_sample_image-data.7z tmp
6;4.88;0.18;2.59;56%;22184;194352;195712;0;./7z_7z_decomp.sh tmp/6_sample_image-data.7z tmp
7;5.35;0.16;2.59;51%;22316;194352;195712;0;./7z_7z_decomp.sh tmp/7_sample_image-data.7z tmp
8;5.02;0.16;2.59;54%;22224;194352;195712;0;./7z_7z_decomp.sh tmp/8_sample_image-data.7z tmp
9;4.11;0.18;2.52;65%;22268;194352;195712;0;./7z_7z_decomp.sh tmp/9_sample_image-data.7z tmp
10;4.99;0.16;2.65;56%;22188;194352;195712;0;./7z_7z_decomp.sh tmp/10_sample_image-data.7z tmp
11;4.44;0.16;2.55;61%;22544;194352;195712;0;./7z_7z_decomp.sh tmp/11_sample_image-data.7z tmp
12;5.11;0.15;2.64;54%;22320;194352;195712;0;./7z_7z_decomp.sh tmp/12_sample_image-data.7z tmp
13;4.39;0.18;2.53;61%;22384;194352;195712;0;./7z_7z_decomp.sh tmp/13_sample_image-data.7z tmp
14;3.87;0.13;2.53;68%;22472;194352;195712;0;./7z_7z_decomp.sh tmp/14_sample_image-data.7z tmp
15;4.61;0.20;2.57;60%;22560;194352;195712;0;./7z_7z_decomp.sh tmp/15_sample_image-data.7z tmp
16;4.20;0.17;2.56;65%;22620;194352;195712;0;./7z_7z_decomp.sh tmp/16_sample_image-data.7z tmp
17;4.08;0.19;2.47;65%;22544;194352;195712;0;./7z_7z_decomp.sh tmp/17_sample_image-data.7z tmp
18;4.61;0.17;2.54;58%;22632;194352;195712;0;./7z_7z_decomp.sh tmp/18_sample_image-data.7z tmp
19;4.98;0.14;2.62;55%;22396;194352;195712;0;./7z_7z_decomp.sh tmp/19_sample_image-data.7z tmp
20;4.86;0.17;2.61;57%;22340;194352;195712;0;./7z_7z_decomp.sh tmp/20_sample_image-data.7z tmp
21;4.49;0.16;2.61;61%;22500;194352;195712;0;./7z_7z_decomp.sh tmp/21_sample_image-data.7z tmp
22;4.71;0.19;2.56;58%;22464;194352;195712;0;./7z_7z_decomp.sh tmp/22_sample_image-data.7z tmp
23;4.09;0.14;2.59;66%;22492;194352;195712;0;./7z_7z_decomp.sh tmp/23_sample_image-data.7z tmp
24;4.37;0.12;2.60;62%;22532;194352;195712;0;./7z_7z_decomp.sh tmp/24_sample_image-data.7z tmp
25;4.28;0.16;2.54;63%;22460;194352;195712;0;./7z_7z_decomp.sh tmp/25_sample_image-data.7z tmp
26;5.46;0.15;2.63;50%;22540;194352;195712;0;./7z_7z_decomp.sh tmp/26_sample_image-data.7z tmp
27;3.46;0.12;2.43;74%;22380;194352;195712;0;./7z_7z_decomp.sh tmp/27_sample_image-data.7z tmp
28;4.82;0.19;2.55;56%;22520;194352;195712;0;./7z_7z_decomp.sh tmp/28_sample_image-data.7z tmp
29;4.21;0.15;2.56;64%;22472;194352;195712;0;./7z_7z_decomp.sh tmp/29_sample_image-data.7z tmp
30;4.63;0.20;2.61;60%;22460;194352;195712;0;./7z_7z_decomp.sh tmp/30_sample_image-data.7z tmp
31;4.72;0.17;2.62;59%;22532;194352;195712;0;./7z_7z_decomp.sh tmp/31_sample_image-data.7z tmp
32;4.55;0.17;2.54;59%;22288;194352;195712;0;./7z_7z_decomp.sh tmp/32_sample_image-data.7z tmp
33;4.67;0.18;2.59;59%;22308;194352;195712;0;./7z_7z_decomp.sh tmp/33_sample_image-data.7z tmp
34;3.30;0.14;2.40;77%;22300;194352;195712;0;./7z_7z_decomp.sh tmp/34_sample_image-data.7z tmp
35;3.77;0.14;2.51;70%;22272;194352;195712;0;./7z_7z_decomp.sh tmp/35_sample_image-data.7z tmp
36;4.06;0.13;2.51;65%;22344;194352;195712;0;./7z_7z_decomp.sh tmp/36_sample_image-data.7z tmp
37;5.64;0.17;2.52;47%;22340;194352;195712;0;./7z_7z_decomp.sh tmp/37_sample_image-data.7z tmp
38;5.41;0.17;2.52;49%;22388;194352;195712;0;./7z_7z_decomp.sh tmp/38_sample_image-data.7z tmp
39;4.58;0.17;2.56;59%;22280;194352;195712;0;./7z_7z_decomp.sh tmp/39_sample_image-data.7z tmp
40;4.00;0.17;2.51;67%;22340;194352;195712;0;./7z_7z_decomp.sh tmp/40_sample_image-data.7z tmp
41;4.33;0.17;2.58;63%;22504;194352;195712;0;./7z_7z_decomp.sh tmp/41_sample_image-data.7z tmp
42;4.29;0.14;2.64;64%;22476;194352;195712;0;./7z_7z_decomp.sh tmp/42_sample_image-data.7z tmp
43;4.66;0.17;2.58;59%;22428;194352;195712;0;./7z_7z_decomp.sh tmp/43_sample_image-data.7z tmp
44;5.69;0.18;2.57;48%;22560;194352;195712;0;./7z_7z_decomp.sh tmp/44_sample_image-data.7z tmp
45;3.79;0.19;2.46;70%;22492;194352;195712;0;./7z_7z_decomp.sh tmp/45_sample_image-data.7z tmp
46;3.88;0.17;2.50;69%;22444;194352;195712;0;./7z_7z_decomp.sh tmp/46_sample_image-data.7z tmp
47;4.05;0.15;2.53;66%;22516;194352;195712;0;./7z_7z_decomp.sh tmp/47_sample_image-data.7z tmp
48;4.90;0.18;2.58;56%;22540;194352;195712;0;./7z_7z_decomp.sh tmp/48_sample_image-data.7z tmp
49;5.37;0.19;2.61;52%;22520;194352;195712;0;./7z_7z_decomp.sh tmp/49_sample_image-data.7z tmp
50;4.00;0.18;2.51;67%;22572;194352;195712;0;./7z_7z_decomp.sh tmp/50_sample_image-data.7z tmp
51;3.84;0.19;2.43;68%;22436;194352;195712;0;./7z_7z_decomp.sh tmp/51_sample_image-data.7z tmp
52;3.92;0.14;2.52;68%;22440;194352;195712;0;./7z_7z_decomp.sh tmp/52_sample_image-data.7z tmp
53;3.96;0.16;2.54;68%;22240;194352;195712;0;./7z_7z_decomp.sh tmp/53_sample_image-data.7z tmp
54;5.85;0.21;2.66;49%;22276;194352;195712;0;./7z_7z_decomp.sh tmp/54_sample_image-data.7z tmp
55;5.67;0.15;2.64;49%;22444;194352;195712;0;./7z_7z_decomp.sh tmp/55_sample_image-data.7z tmp
56;4.98;0.16;2.58;55%;22504;194352;195712;0;./7z_7z_decomp.sh tmp/56_sample_image-data.7z tmp
57;4.77;0.17;2.58;57%;22564;194352;195712;0;./7z_7z_decomp.sh tmp/57_sample_image-data.7z tmp
58;4.54;0.18;2.61;61%;22444;194352;195712;0;./7z_7z_decomp.sh tmp/58_sample_image-data.7z tmp
59;3.80;0.16;2.48;69%;22364;194352;195712;0;./7z_7z_decomp.sh tmp/59_sample_image-data.7z tmp
60;4.40;0.14;2.60;62%;22460;194352;195712;0;./7z_7z_decomp.sh tmp/60_sample_image-data.7z tmp
61;4.58;0.21;2.60;61%;22460;194352;195712;0;./7z_7z_decomp.sh tmp/61_sample_image-data.7z tmp
62;4.78;0.16;2.60;57%;22412;194352;195712;0;./7z_7z_decomp.sh tmp/62_sample_image-data.7z tmp
63;4.55;0.12;2.52;58%;22300;194352;195712;0;./7z_7z_decomp.sh tmp/63_sample_image-data.7z tmp
64;3.96;0.15;2.52;67%;22420;194352;195712;0;./7z_7z_decomp.sh tmp/64_sample_image-data.7z tmp
65;4.47;0.10;2.62;60%;22204;194352;195712;0;./7z_7z_decomp.sh tmp/65_sample_image-data.7z tmp
66;4.65;0.17;2.59;59%;22328;194360;195712;0;./7z_7z_decomp.sh tmp/66_sample_image-data.7z tmp
67;4.39;0.15;2.54;61%;22156;194352;195712;0;./7z_7z_decomp.sh tmp/67_sample_image-data.7z tmp
68;4.42;0.15;2.47;59%;22256;194352;195712;0;./7z_7z_decomp.sh tmp/68_sample_image-data.7z tmp
69;4.44;0.13;2.53;60%;22332;194352;195712;0;./7z_7z_decomp.sh tmp/69_sample_image-data.7z tmp
