id of repetition;uncompressed;compressed;decompressed
0;100190720;98959003;100190720
1;100190720;98959003;100190720
2;100190720;98959003;100190720
3;100190720;98959003;100190720
4;100190720;98959003;100190720
5;100190720;98959003;100190720
6;100190720;98959003;100190720
7;100190720;98959003;100190720
8;100190720;98959003;100190720
9;100190720;98959003;100190720
10;100190720;98959003;100190720
11;100190720;98959003;100190720
12;100190720;98959003;100190720
13;100190720;98959003;100190720
14;100190720;98959003;100190720
15;100190720;98959003;100190720
16;100190720;98959003;100190720
17;100190720;98959003;100190720
18;100190720;98959003;100190720
19;100190720;98959003;100190720
20;100190720;98959003;100190720
21;100190720;98959003;100190720
22;100190720;98959003;100190720
23;100190720;98959003;100190720
24;100190720;98959003;100190720
25;100190720;98959003;100190720
26;100190720;98959003;100190720
27;100190720;98959003;100190720
28;100190720;98959003;100190720
29;100190720;98959003;100190720
30;100190720;98959003;100190720
31;100190720;98959003;100190720
32;100190720;98959003;100190720
33;100190720;98959003;100190720
34;100190720;98959003;100190720
35;100190720;98959003;100190720
36;100190720;98959003;100190720
37;100190720;98959003;100190720
38;100190720;98959003;100190720
39;100190720;98959003;100190720
40;100190720;98959003;100190720
41;100190720;98959003;100190720
42;100190720;98959003;100190720
43;100190720;98959003;100190720
44;100190720;98959003;100190720
45;100190720;98959003;100190720
46;100190720;98959003;100190720
47;100190720;98959003;100190720
48;100190720;98959003;100190720
49;100190720;98959003;100190720
50;100190720;98959003;100190720
51;100190720;98959003;100190720
52;100190720;98959003;100190720
53;100190720;98959003;100190720
54;100190720;98959003;100190720
55;100190720;98959003;100190720
56;100190720;98959003;100190720
57;100190720;98959003;100190720
58;100190720;98959003;100190720
59;100190720;98959003;100190720
60;100190720;98959003;100190720
61;100190720;98959003;100190720
62;100190720;98959003;100190720
63;100190720;98959003;100190720
64;100190720;98959003;100190720
65;100190720;98959003;100190720
66;100190720;98959003;100190720
67;100190720;98959003;100190720
68;100190720;98959003;100190720
69;100190720;98959003;100190720
