id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;12.16;0.47;31.71;264%;537536;196040;195224;0;./7z_7z_comp.sh tmp/0_sample_music.7z sample_music
1;10.46;0.28;31.57;304%;539128;0;195224;0;./7z_7z_comp.sh tmp/1_sample_music.7z sample_music
2;11.13;0.37;33.09;300%;538984;0;195224;0;./7z_7z_comp.sh tmp/2_sample_music.7z sample_music
3;10.61;0.30;31.37;298%;539228;0;195224;0;./7z_7z_comp.sh tmp/3_sample_music.7z sample_music
4;13.41;0.36;33.86;255%;537004;0;195224;0;./7z_7z_comp.sh tmp/4_sample_music.7z sample_music
5;10.72;0.31;31.59;297%;537804;0;195224;0;./7z_7z_comp.sh tmp/5_sample_music.7z sample_music
6;10.77;0.29;31.56;295%;539316;0;195224;0;./7z_7z_comp.sh tmp/6_sample_music.7z sample_music
7;11.10;0.35;32.85;299%;537656;0;195224;0;./7z_7z_comp.sh tmp/7_sample_music.7z sample_music
8;10.39;0.33;31.44;305%;537332;0;195224;0;./7z_7z_comp.sh tmp/8_sample_music.7z sample_music
9;11.01;0.33;32.30;296%;537256;0;195224;0;./7z_7z_comp.sh tmp/9_sample_music.7z sample_music
10;11.19;0.36;33.23;300%;538388;0;195224;0;./7z_7z_comp.sh tmp/10_sample_music.7z sample_music
11;10.78;0.33;31.64;296%;541040;0;195224;0;./7z_7z_comp.sh tmp/11_sample_music.7z sample_music
12;10.72;0.34;31.77;299%;538360;0;195224;0;./7z_7z_comp.sh tmp/12_sample_music.7z sample_music
13;13.10;0.28;31.65;243%;538020;0;195224;0;./7z_7z_comp.sh tmp/13_sample_music.7z sample_music
14;10.56;0.32;31.70;303%;539188;0;195224;0;./7z_7z_comp.sh tmp/14_sample_music.7z sample_music
15;10.45;0.29;31.69;305%;538640;0;195224;0;./7z_7z_comp.sh tmp/15_sample_music.7z sample_music
16;10.82;0.33;31.92;297%;537968;0;195224;0;./7z_7z_comp.sh tmp/16_sample_music.7z sample_music
17;10.54;0.31;31.85;305%;538300;0;195224;0;./7z_7z_comp.sh tmp/17_sample_music.7z sample_music
18;10.52;0.31;31.28;300%;538712;0;195224;0;./7z_7z_comp.sh tmp/18_sample_music.7z sample_music
19;11.41;0.37;32.41;287%;538464;0;195224;0;./7z_7z_comp.sh tmp/19_sample_music.7z sample_music
20;10.84;0.30;31.73;295%;537608;0;195224;0;./7z_7z_comp.sh tmp/20_sample_music.7z sample_music
