id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;10.74;0.17;42.11;393%;49448;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/0_sample_music.bz2
1;10.70;0.19;42.07;395%;49584;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/1_sample_music.bz2
2;12.34;0.17;42.00;341%;49208;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/2_sample_music.bz2
3;10.62;0.18;41.60;393%;48512;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/3_sample_music.bz2
4;10.61;0.17;41.49;392%;49192;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/4_sample_music.bz2
5;10.70;0.18;41.75;391%;49676;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/5_sample_music.bz2
6;10.76;0.14;41.99;391%;49440;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/6_sample_music.bz2
7;10.77;0.16;41.85;389%;49552;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/7_sample_music.bz2
8;10.79;0.19;41.99;390%;48400;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/8_sample_music.bz2
9;10.74;0.16;41.90;391%;49196;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/9_sample_music.bz2
10;10.74;0.17;41.96;392%;49356;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/10_sample_music.bz2
11;10.73;0.17;41.71;390%;49136;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/11_sample_music.bz2
12;10.76;0.16;42.01;391%;49392;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/12_sample_music.bz2
13;10.64;0.18;41.77;394%;49152;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/13_sample_music.bz2
14;10.67;0.15;41.85;393%;48984;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/14_sample_music.bz2
15;12.66;0.13;41.88;331%;49540;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/15_sample_music.bz2
16;10.74;0.20;41.79;391%;49372;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/16_sample_music.bz2
17;10.77;0.21;41.74;389%;49224;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/17_sample_music.bz2
18;10.74;0.17;42.05;392%;49668;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/18_sample_music.bz2
19;10.77;0.14;42.25;393%;49428;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/19_sample_music.bz2
20;10.62;0.15;41.66;393%;49072;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/20_sample_music.bz2
