id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;12.47;0.47;35.53;288%;551616;210776;208712;0;./7z_7z_comp.sh tmp/0_sample_vid.mp4.7z sample_vid.mp4
1;11.07;0.31;35.61;324%;552524;0;208712;0;./7z_7z_comp.sh tmp/1_sample_vid.mp4.7z sample_vid.mp4
2;11.84;0.41;36.94;315%;553312;0;208712;0;./7z_7z_comp.sh tmp/2_sample_vid.mp4.7z sample_vid.mp4
3;13.04;0.27;35.56;274%;552220;0;208712;0;./7z_7z_comp.sh tmp/3_sample_vid.mp4.7z sample_vid.mp4
4;11.48;0.30;36.96;324%;552308;0;208712;0;./7z_7z_comp.sh tmp/4_sample_vid.mp4.7z sample_vid.mp4
5;11.07;0.29;35.55;323%;551360;0;208712;0;./7z_7z_comp.sh tmp/5_sample_vid.mp4.7z sample_vid.mp4
6;11.27;0.36;35.87;321%;551932;0;208712;0;./7z_7z_comp.sh tmp/6_sample_vid.mp4.7z sample_vid.mp4
7;11.30;0.33;35.62;318%;552956;0;208712;0;./7z_7z_comp.sh tmp/7_sample_vid.mp4.7z sample_vid.mp4
8;11.24;0.37;35.82;321%;551520;0;208712;0;./7z_7z_comp.sh tmp/8_sample_vid.mp4.7z sample_vid.mp4
9;11.16;0.34;35.45;320%;552304;0;208712;0;./7z_7z_comp.sh tmp/9_sample_vid.mp4.7z sample_vid.mp4
10;11.89;0.29;35.34;299%;552904;0;208712;0;./7z_7z_comp.sh tmp/10_sample_vid.mp4.7z sample_vid.mp4
11;13.10;0.32;35.62;274%;551544;0;208712;0;./7z_7z_comp.sh tmp/11_sample_vid.mp4.7z sample_vid.mp4
12;11.44;0.34;36.17;319%;552364;0;208712;0;./7z_7z_comp.sh tmp/12_sample_vid.mp4.7z sample_vid.mp4
13;12.03;0.42;37.59;316%;551264;0;208712;0;./7z_7z_comp.sh tmp/13_sample_vid.mp4.7z sample_vid.mp4
14;11.25;0.36;36.10;324%;554388;0;208712;0;./7z_7z_comp.sh tmp/14_sample_vid.mp4.7z sample_vid.mp4
15;11.06;0.36;35.42;323%;552892;0;208712;0;./7z_7z_comp.sh tmp/15_sample_vid.mp4.7z sample_vid.mp4
16;11.41;0.41;36.03;319%;552876;0;208712;0;./7z_7z_comp.sh tmp/16_sample_vid.mp4.7z sample_vid.mp4
17;11.55;0.33;36.26;316%;552936;0;208712;0;./7z_7z_comp.sh tmp/17_sample_vid.mp4.7z sample_vid.mp4
18;11.19;0.34;35.45;319%;551884;0;208712;0;./7z_7z_comp.sh tmp/18_sample_vid.mp4.7z sample_vid.mp4
19;11.13;0.34;35.68;323%;552172;0;208712;0;./7z_7z_comp.sh tmp/19_sample_vid.mp4.7z sample_vid.mp4
20;12.87;0.30;35.40;277%;551744;0;208712;0;./7z_7z_comp.sh tmp/20_sample_vid.mp4.7z sample_vid.mp4
21;11.16;0.34;35.72;322%;553152;0;208712;0;./7z_7z_comp.sh tmp/21_sample_vid.mp4.7z sample_vid.mp4
22;11.35;0.34;36.02;320%;551400;0;208712;0;./7z_7z_comp.sh tmp/22_sample_vid.mp4.7z sample_vid.mp4
23;11.43;0.34;36.31;320%;551516;0;208712;0;./7z_7z_comp.sh tmp/23_sample_vid.mp4.7z sample_vid.mp4
24;12.77;0.34;36.10;285%;551524;0;208712;0;./7z_7z_comp.sh tmp/24_sample_vid.mp4.7z sample_vid.mp4
25;11.18;0.36;35.61;321%;552088;0;208712;0;./7z_7z_comp.sh tmp/25_sample_vid.mp4.7z sample_vid.mp4
26;11.88;0.43;38.38;326%;551448;0;208712;0;./7z_7z_comp.sh tmp/26_sample_vid.mp4.7z sample_vid.mp4
27;11.30;0.31;36.20;323%;553024;0;208712;0;./7z_7z_comp.sh tmp/27_sample_vid.mp4.7z sample_vid.mp4
28;12.21;0.44;37.40;309%;552192;0;208712;0;./7z_7z_comp.sh tmp/28_sample_vid.mp4.7z sample_vid.mp4
29;14.52;0.43;38.24;266%;552856;0;208712;0;./7z_7z_comp.sh tmp/29_sample_vid.mp4.7z sample_vid.mp4
30;11.22;0.36;35.81;322%;552696;0;208712;0;./7z_7z_comp.sh tmp/30_sample_vid.mp4.7z sample_vid.mp4
31;13.83;0.34;37.10;270%;551612;0;208712;0;./7z_7z_comp.sh tmp/31_sample_vid.mp4.7z sample_vid.mp4
32;11.31;0.31;36.11;322%;551632;0;208712;0;./7z_7z_comp.sh tmp/32_sample_vid.mp4.7z sample_vid.mp4
33;11.48;0.39;35.97;316%;552384;0;208712;0;./7z_7z_comp.sh tmp/33_sample_vid.mp4.7z sample_vid.mp4
34;13.27;0.32;36.84;280%;553084;0;208712;0;./7z_7z_comp.sh tmp/34_sample_vid.mp4.7z sample_vid.mp4
35;11.61;0.36;37.26;324%;552652;0;208712;0;./7z_7z_comp.sh tmp/35_sample_vid.mp4.7z sample_vid.mp4
36;12.26;0.37;38.60;317%;551764;0;208712;0;./7z_7z_comp.sh tmp/36_sample_vid.mp4.7z sample_vid.mp4
37;11.23;0.39;36.54;328%;553192;0;208712;0;./7z_7z_comp.sh tmp/37_sample_vid.mp4.7z sample_vid.mp4
38;11.55;0.28;36.50;318%;551748;0;208712;0;./7z_7z_comp.sh tmp/38_sample_vid.mp4.7z sample_vid.mp4
39;11.37;0.33;36.58;324%;551720;0;208712;0;./7z_7z_comp.sh tmp/39_sample_vid.mp4.7z sample_vid.mp4
40;11.14;0.40;36.17;328%;552528;0;208712;0;./7z_7z_comp.sh tmp/40_sample_vid.mp4.7z sample_vid.mp4
41;11.27;0.35;35.96;322%;552216;0;208712;0;./7z_7z_comp.sh tmp/41_sample_vid.mp4.7z sample_vid.mp4
42;12.09;0.35;37.47;312%;553704;0;208712;0;./7z_7z_comp.sh tmp/42_sample_vid.mp4.7z sample_vid.mp4
43;11.20;0.30;36.00;324%;551708;0;208712;0;./7z_7z_comp.sh tmp/43_sample_vid.mp4.7z sample_vid.mp4
44;11.24;0.40;36.29;326%;552604;0;208712;0;./7z_7z_comp.sh tmp/44_sample_vid.mp4.7z sample_vid.mp4
45;11.94;0.36;37.07;313%;553088;0;208712;0;./7z_7z_comp.sh tmp/45_sample_vid.mp4.7z sample_vid.mp4
46;13.04;0.34;36.15;279%;551564;0;208712;0;./7z_7z_comp.sh tmp/46_sample_vid.mp4.7z sample_vid.mp4
47;11.39;0.41;36.25;321%;552920;0;208712;0;./7z_7z_comp.sh tmp/47_sample_vid.mp4.7z sample_vid.mp4
48;11.32;0.37;36.79;328%;552280;0;208712;0;./7z_7z_comp.sh tmp/48_sample_vid.mp4.7z sample_vid.mp4
49;11.19;0.33;36.09;325%;551960;0;208712;0;./7z_7z_comp.sh tmp/49_sample_vid.mp4.7z sample_vid.mp4
