id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;5.64;0.21;7.40;135%;18856;209248;210768;0;./7z_bzip2_decomp.sh tmp/0_sample_vid.mp4.bz2 tmp
1;3.98;0.21;7.17;185%;18812;209248;210768;0;./7z_bzip2_decomp.sh tmp/1_sample_vid.mp4.bz2 tmp
2;3.99;0.20;7.02;180%;18884;209248;210768;0;./7z_bzip2_decomp.sh tmp/2_sample_vid.mp4.bz2 tmp
3;5.70;0.21;7.08;128%;18944;209248;210768;0;./7z_bzip2_decomp.sh tmp/3_sample_vid.mp4.bz2 tmp
4;3.99;0.21;6.99;180%;18828;209248;210768;0;./7z_bzip2_decomp.sh tmp/4_sample_vid.mp4.bz2 tmp
5;5.81;0.22;6.97;123%;18680;209248;210768;0;./7z_bzip2_decomp.sh tmp/5_sample_vid.mp4.bz2 tmp
6;5.62;0.21;7.15;131%;18736;209248;210768;0;./7z_bzip2_decomp.sh tmp/6_sample_vid.mp4.bz2 tmp
7;5.34;0.20;7.24;139%;18808;209248;210768;0;./7z_bzip2_decomp.sh tmp/7_sample_vid.mp4.bz2 tmp
8;5.54;0.21;7.07;131%;18940;209248;210768;0;./7z_bzip2_decomp.sh tmp/8_sample_vid.mp4.bz2 tmp
9;5.37;0.23;7.07;136%;18788;209120;210768;0;./7z_bzip2_decomp.sh tmp/9_sample_vid.mp4.bz2 tmp
10;5.40;0.20;7.15;136%;18880;209120;210768;0;./7z_bzip2_decomp.sh tmp/10_sample_vid.mp4.bz2 tmp
11;5.45;0.22;7.13;134%;18592;208864;210768;0;./7z_bzip2_decomp.sh tmp/11_sample_vid.mp4.bz2 tmp
12;5.43;0.23;7.08;134%;18992;208832;210768;0;./7z_bzip2_decomp.sh tmp/12_sample_vid.mp4.bz2 tmp
13;5.50;0.21;7.18;134%;18912;207968;210768;0;./7z_bzip2_decomp.sh tmp/13_sample_vid.mp4.bz2 tmp
14;5.68;0.23;7.07;128%;18952;208928;210768;0;./7z_bzip2_decomp.sh tmp/14_sample_vid.mp4.bz2 tmp
15;5.37;0.21;7.19;137%;18740;207712;210768;0;./7z_bzip2_decomp.sh tmp/15_sample_vid.mp4.bz2 tmp
16;10.78;0.21;7.28;69%;18792;208984;210768;0;./7z_bzip2_decomp.sh tmp/16_sample_vid.mp4.bz2 tmp
17;4.06;0.25;7.06;179%;18968;208224;210768;0;./7z_bzip2_decomp.sh tmp/17_sample_vid.mp4.bz2 tmp
18;4.01;0.22;7.06;181%;18856;208480;210768;0;./7z_bzip2_decomp.sh tmp/18_sample_vid.mp4.bz2 tmp
19;5.92;0.22;7.31;127%;18496;209248;210768;0;./7z_bzip2_decomp.sh tmp/19_sample_vid.mp4.bz2 tmp
20;3.99;0.24;7.06;183%;18796;208216;210768;0;./7z_bzip2_decomp.sh tmp/20_sample_vid.mp4.bz2 tmp
21;4.05;0.23;7.22;184%;18824;208224;210768;0;./7z_bzip2_decomp.sh tmp/21_sample_vid.mp4.bz2 tmp
22;5.19;0.24;7.17;142%;18756;208736;210768;0;./7z_bzip2_decomp.sh tmp/22_sample_vid.mp4.bz2 tmp
23;4.05;0.23;7.21;183%;18800;207712;210768;0;./7z_bzip2_decomp.sh tmp/23_sample_vid.mp4.bz2 tmp
24;5.50;0.23;6.95;130%;18876;207200;210768;0;./7z_bzip2_decomp.sh tmp/24_sample_vid.mp4.bz2 tmp
25;5.20;0.22;7.06;140%;18816;209248;210768;0;./7z_bzip2_decomp.sh tmp/25_sample_vid.mp4.bz2 tmp
26;5.26;0.22;7.20;141%;19120;208224;210768;0;./7z_bzip2_decomp.sh tmp/26_sample_vid.mp4.bz2 tmp
27;5.49;0.21;6.96;130%;18800;209248;210768;0;./7z_bzip2_decomp.sh tmp/27_sample_vid.mp4.bz2 tmp
28;5.80;0.24;7.05;125%;18892;209248;210768;0;./7z_bzip2_decomp.sh tmp/28_sample_vid.mp4.bz2 tmp
29;5.39;0.20;7.08;134%;18892;209248;210768;0;./7z_bzip2_decomp.sh tmp/29_sample_vid.mp4.bz2 tmp
