id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
0;7.75;0.13;5.62;74%;22204;208680;210768;0;./7z_7z_decomp.sh tmp/0_sample_vid.mp4.7z tmp
1;7.69;0.12;5.56;73%;22336;208520;210768;0;./7z_7z_decomp.sh tmp/1_sample_vid.mp4.7z tmp
2;6.20;0.11;5.46;89%;22456;208584;210768;0;./7z_7z_decomp.sh tmp/2_sample_vid.mp4.7z tmp
3;6.10;0.10;5.48;91%;22348;208520;210768;0;./7z_7z_decomp.sh tmp/3_sample_vid.mp4.7z tmp
4;7.02;0.13;5.46;79%;22100;208392;210768;0;./7z_7z_decomp.sh tmp/4_sample_vid.mp4.7z tmp
5;6.23;0.13;5.47;89%;22504;208328;210768;0;./7z_7z_decomp.sh tmp/5_sample_vid.mp4.7z tmp
6;6.21;0.10;5.48;89%;21984;208584;210768;0;./7z_7z_decomp.sh tmp/6_sample_vid.mp4.7z tmp
7;7.07;0.14;5.52;80%;22284;208328;210768;0;./7z_7z_decomp.sh tmp/7_sample_vid.mp4.7z tmp
8;6.73;0.07;5.55;83%;22016;208328;210768;0;./7z_7z_decomp.sh tmp/8_sample_vid.mp4.7z tmp
9;6.28;0.10;5.52;89%;22444;208456;210768;0;./7z_7z_decomp.sh tmp/9_sample_vid.mp4.7z tmp
10;6.17;0.11;5.49;90%;22488;208712;210768;0;./7z_7z_decomp.sh tmp/10_sample_vid.mp4.7z tmp
11;7.44;0.12;5.60;76%;22220;208712;210768;0;./7z_7z_decomp.sh tmp/11_sample_vid.mp4.7z tmp
12;6.56;0.16;5.55;87%;22248;208456;210768;0;./7z_7z_decomp.sh tmp/12_sample_vid.mp4.7z tmp
13;6.22;0.10;5.51;90%;22144;208456;210768;0;./7z_7z_decomp.sh tmp/13_sample_vid.mp4.7z tmp
14;6.24;0.08;5.56;90%;22248;208456;210768;0;./7z_7z_decomp.sh tmp/14_sample_vid.mp4.7z tmp
15;7.09;0.11;5.53;79%;22180;207688;210768;0;./7z_7z_decomp.sh tmp/15_sample_vid.mp4.7z tmp
16;6.55;0.14;5.54;86%;22332;207688;210768;0;./7z_7z_decomp.sh tmp/16_sample_vid.mp4.7z tmp
17;6.36;0.10;5.54;88%;22276;208712;210768;0;./7z_7z_decomp.sh tmp/17_sample_vid.mp4.7z tmp
18;7.30;0.10;5.56;77%;22328;208712;210768;0;./7z_7z_decomp.sh tmp/18_sample_vid.mp4.7z tmp
19;6.98;0.14;5.51;81%;22416;207688;210768;0;./7z_7z_decomp.sh tmp/19_sample_vid.mp4.7z tmp
20;6.30;0.09;5.56;89%;22376;208712;210768;0;./7z_7z_decomp.sh tmp/20_sample_vid.mp4.7z tmp
21;6.06;0.10;5.46;92%;22396;208712;210768;0;./7z_7z_decomp.sh tmp/21_sample_vid.mp4.7z tmp
22;6.41;0.16;5.48;88%;22376;208712;210768;0;./7z_7z_decomp.sh tmp/22_sample_vid.mp4.7z tmp
23;5.99;0.08;5.47;92%;22452;208712;210768;0;./7z_7z_decomp.sh tmp/23_sample_vid.mp4.7z tmp
